Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,NOR,McLaren,1:08.972,68.972,SOFT,2.0,1,23.561,24.469,20.942
2,PIA,McLaren,1:09.214,69.214,SOFT,2.0,1,23.671,24.522,21.021
3,RUS,Mercedes,1:09.858,69.858,SOFT,2.0,1,23.991,24.709,21.158
4,SAI,Williams,1:09.913,69.913,SOFT,2.0,1,23.959,24.762,21.192
5,VER,Red Bull Racing,1:09.925,69.925,SOFT,2.0,1,23.93,24.743,21.252
6,LEC,Ferrari,1:09.938,69.938,SOFT,2.0,1,24.016,24.778,21.144
7,ALB,Williams,1:10.099,70.099,SOFT,2.0,1,24.027,24.971,21.101
8,STR,Aston Martin,1:10.103,70.103,SOFT,2.0,1,24.091,24.926,21.086
9,HAD,Racing Bulls,1:10.166,70.166,SOFT,2.0,1,23.975,24.911,21.28
10,ALO,Aston Martin,1:10.232,70.232,SOFT,6.0,1,24.069,24.861,21.302
11,LAW,Racing Bulls,1:10.300,70.3,SOFT,2.0,1,24.078,25.031,21.191
12,TSU,Red Bull Racing,1:10.349,70.349,SOFT,2.0,1,24.05,25.002,21.297
13,BOR,Kick Sauber,1:10.361,70.361,SOFT,2.0,1,24.14,24.982,21.239
14,HAM,Ferrari,1:10.373,70.373,SOFT,3.0,1,24.204,24.884,21.285
15,BEA,Haas F1 Team,1:10.595,70.595,SOFT,2.0,1,24.175,25.048,21.372
16,HUL,Kick Sauber,1:10.599,70.599,SOFT,6.0,1,24.366,25.047,21.186
17,ANT,Mercedes,1:10.697,70.697,SOFT,2.0,1,24.39,25.006,21.301
18,OCO,Haas F1 Team,1:10.801,70.801,SOFT,2.0,1,24.265,25.196,21.34
19,GAS,Alpine,1:10.963,70.963,SOFT,6.0,1,24.406,25.08,21.477
20,COL,Alpine,1:11.054,71.054,SOFT,5.0,1,24.396,25.13,21.528
