Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,PIA,McLaren,1:42.022,102.022,SOFT,5.0,1,30.207,43.604,28.211
2,VER,Red Bull Racing,1:42.426,102.426,SOFT,5.0,1,29.916,44.485,28.025
3,NOR,McLaren,1:42.526,102.526,SOFT,4.0,1,30.506,43.726,28.294
4,RUS,Mercedes,1:42.598,102.598,MEDIUM,2.0,1,30.038,44.544,28.016
5,LEC,Ferrari,1:42.928,102.928,SOFT,4.0,1,30.331,44.421,28.176
6,ANT,Mercedes,1:42.979,102.979,MEDIUM,2.0,1,30.13,44.888,27.961
7,HAM,Ferrari,1:43.085,103.085,SOFT,2.0,1,30.255,44.507,28.323
8,STR,Aston Martin,1:43.112,103.112,SOFT,2.0,1,30.272,44.493,28.347
9,ALO,Aston Martin,1:43.120,103.12,SOFT,2.0,1,30.141,44.697,28.282
10,HAD,Racing Bulls,1:43.122,103.122,MEDIUM,2.0,1,30.383,44.418,28.321
11,SAI,Williams,1:43.217,103.217,SOFT,2.0,1,30.204,44.758,28.255
12,ALB,Williams,1:43.261,103.261,SOFT,2.0,1,30.326,44.485,28.45
13,BOR,Kick Sauber,1:43.262,103.262,SOFT,2.0,1,30.023,45.006,28.233
14,HUL,Kick Sauber,1:43.470,103.47,SOFT,2.0,1,30.178,44.858,28.434
15,LAW,Racing Bulls,1:43.478,103.478,MEDIUM,2.0,1,30.637,44.595,28.246
16,OCO,Haas F1 Team,1:43.570,103.57,SOFT,2.0,12,30.378,44.815,28.377
17,GAS,Alpine,1:43.929,103.929,SOFT,2.0,1,30.548,44.813,28.568
18,TSU,Red Bull Racing,1:44.492,104.492,MEDIUM,8.0,1,30.255,45.902,28.335
19,COL,Alpine,1:44.847,104.847,SOFT,6.0,1,30.724,45.405,28.718
20,BEA,Haas F1 Team,1:45.077,105.077,MEDIUM,8.0,1,30.453,46.348,28.276
