Position,Driver,Team,GridPosition,Q1,Q2,Q3,Status
1.0,NOR,McLaren,3.0,,,,Finished
2.0,PIA,McLaren,2.0,,,,Finished
3.0,HAM,Ferrari,7.0,,,,Finished
4.0,RUS,Mercedes,5.0,,,,Finished
5.0,STR,Aston Martin,16.0,,,,Finished
6.0,TSU,Red Bull Racing,20.0,,,,Finished
7.0,ANT,Mercedes,1.0,,,,Finished
8.0,GAS,Alpine,13.0,,,,Finished
9.0,HUL,Kick Sauber,11.0,,,,Finished
10.0,HAD,Racing Bulls,9.0,,,,Finished
11.0,ALB,Williams,8.0,,,,Finished
12.0,OCO,Haas F1 Team,12.0,,,,Finished
13.0,LAW,Racing Bulls,14.0,,,,Finished
14.0,BEA,Haas F1 Team,19.0,,,,Finished
15.0,BOR,Kick Sauber,18.0,,,,Finished
16.0,DOO,Alpine,17.0,,,,Finished
17.0,VER,Red Bull Racing,4.0,,,,Finished
18.0,ALO,Aston Martin,10.0,,,,Retired
19.0,SAI,Williams,15.0,,,,Retired
20.0,LEC,Ferrari,6.0,,,,Retired
