Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,NOR,McLaren,1:09.890,69.89,SOFT,2.0,1,24.035,24.654,21.201
2,ALO,Aston Martin,1:09.977,69.977,SOFT,2.0,1,24.008,24.649,21.32
3,PIA,McLaren,1:09.979,69.979,SOFT,2.0,1,24.018,24.708,21.253
4,RUS,Mercedes,1:10.274,70.274,SOFT,2.0,1,24.212,24.712,21.35
5,VER,Red Bull Racing,1:10.478,70.478,SOFT,2.0,1,24.307,24.794,21.377
6,HAM,Ferrari,1:10.738,70.738,SOFT,4.0,1,24.128,25.116,21.494
7,TSU,Red Bull Racing,1:10.795,70.795,SOFT,2.0,1,24.191,25.046,21.558
8,LEC,Ferrari,1:10.834,70.834,SOFT,2.0,1,24.236,25.258,21.34
9,COL,Alpine,1:10.957,70.957,SOFT,4.0,1,24.43,24.983,21.544
10,HUL,Kick Sauber,1:11.080,71.08,SOFT,6.0,1,24.701,24.899,21.48
11,BEA,Haas F1 Team,1:11.113,71.113,SOFT,2.0,1,24.39,25.167,21.556
12,ANT,Mercedes,1:11.185,71.185,SOFT,3.0,1,24.32,25.08,21.785
13,BOR,Kick Sauber,1:11.320,71.32,SOFT,2.0,1,24.671,24.994,21.655
14,LAW,Racing Bulls,1:11.339,71.339,SOFT,4.0,1,24.432,25.257,21.65
15,OCO,Haas F1 Team,1:11.361,71.361,SOFT,4.0,1,24.607,25.193,21.561
16,SAI,Williams,1:11.682,71.682,HARD,10.0,1,24.434,25.385,21.863
17,ALB,Williams,1:11.756,71.756,HARD,10.0,1,24.568,25.358,21.83
18,STR,Aston Martin,1:11.975,71.975,MEDIUM,4.0,1,24.627,25.418,21.93
19,GAS,Alpine,1:12.122,72.122,MEDIUM,11.0,21,25.018,25.262,21.842
