Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,ANT,Mercedes,1:07.796,67.796,SOFT,2.0,1,16.742,30.304,20.75
2,RUS,Mercedes,1:07.836,67.836,SOFT,5.0,1,16.869,30.44,20.527
3,PIA,McLaren,1:07.913,67.913,SOFT,2.0,1,16.878,30.383,20.652
4,VER,Red Bull Racing,1:08.077,68.077,SOFT,2.0,1,16.896,30.35,20.831
5,HAM,Ferrari,1:08.461,68.461,SOFT,5.0,1,16.95,30.514,20.997
6,LIN,Racing Bulls,1:08.726,68.726,SOFT,2.0,1,16.936,30.703,21.087
7,NOR,McLaren,1:08.873,68.873,MEDIUM,4.0,1,17.146,30.714,21.013
8,COL,Alpine,1:08.962,68.962,SOFT,2.0,1,17.021,30.864,21.077
9,BEG,Ferrari,1:09.054,69.054,SOFT,4.0,1,17.173,30.793,21.088
10,BEA,Haas F1 Team,1:09.071,69.071,SOFT,2.0,21,17.016,30.834,21.221
11,HUL,Audi,1:09.165,69.165,SOFT,2.0,1,16.984,30.962,21.219
12,HAD,Red Bull Racing,1:09.481,69.481,SOFT,2.0,1,17.158,30.954,21.369
13,BOT,Cadillac,1:09.521,69.521,SOFT,2.0,1,17.072,30.925,21.524
14,GAS,Alpine,1:09.546,69.546,SOFT,4.0,1,17.125,31.163,21.258
15,IWA,Racing Bulls,1:09.637,69.637,SOFT,7.0,1,17.33,31.047,21.26
16,ALB,Williams,1:09.644,69.644,SOFT,2.0,1,17.167,30.977,21.5
17,ARO,Audi,1:09.646,69.646,SOFT,3.0,1,17.217,31.271,21.158
18,BRO,Williams,1:09.979,69.979,SOFT,3.0,1,17.267,31.297,21.415
19,HIR,Haas F1 Team,1:10.493,70.493,SOFT,2.0,1,17.392,31.293,21.808
20,CRA,Aston Martin,1:11.202,71.202,SOFT,3.0,1,17.737,31.835,21.63
21,PER,Cadillac,1:11.283,71.283,HARD,8.0,1,17.339,31.952,21.992
22,ALO,Aston Martin,1:11.333,71.333,SOFT,2.0,1,17.741,31.62,21.972
