Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
ANT,Mercedes,67.796,16.742,30.304,20.75,SOFT,2,True,False,1
RUS,Mercedes,67.836,16.869,30.44,20.527,SOFT,5,True,False,1
PIA,McLaren,67.913,16.878,30.383,20.652,SOFT,2,True,False,1
RUS,Mercedes,67.915,16.841,30.459,20.615,SOFT,2,True,False,1
VER,Red Bull Racing,68.077,16.896,30.35,20.831,SOFT,2,True,False,1
ANT,Mercedes,68.448,16.832,30.723,20.893,MEDIUM,11,True,False,1
HAM,Ferrari,68.461,16.95,30.514,20.997,SOFT,5,True,False,1
HAM,Ferrari,68.549,17.004,30.585,20.96,SOFT,2,True,False,1
LIN,Racing Bulls,68.726,16.936,30.703,21.087,SOFT,2,True,False,1
RUS,Mercedes,68.74,16.961,30.925,20.854,MEDIUM,11,True,False,1
NOR,McLaren,68.873,17.146,30.714,21.013,MEDIUM,4,True,False,1
VER,Red Bull Racing,68.892,17.058,30.933,20.901,SOFT,9,True,False,1
RUS,Mercedes,68.898,17.012,30.875,21.011,MEDIUM,8,True,False,1
VER,Red Bull Racing,68.9,17.094,30.847,20.959,SOFT,5,True,False,1
COL,Alpine,68.962,17.021,30.864,21.077,SOFT,2,True,False,1
PIA,McLaren,68.971,17.086,30.931,20.954,MEDIUM,9,True,False,1
COL,Alpine,68.989,17.073,30.909,21.007,SOFT,5,True,False,1
ANT,Mercedes,69.001,17.009,30.96,21.032,MEDIUM,8,True,False,1
VER,Red Bull Racing,69.043,16.962,30.806,21.275,SOFT,2,True,False,1
BEG,Ferrari,69.054,17.173,30.793,21.088,SOFT,4,True,False,1
BEA,Haas F1 Team,69.071,17.016,30.834,21.221,SOFT,2,True,False,21
ANT,Mercedes,69.119,16.937,30.866,21.316,MEDIUM,4,True,False,1
RUS,Mercedes,69.161,17.028,31.145,20.988,MEDIUM,5,True,False,1
HUL,Audi,69.165,16.984,30.962,21.219,SOFT,2,True,False,1
PIA,McLaren,69.221,17.046,31.162,21.013,MEDIUM,12,True,False,1
NOR,McLaren,69.255,17.173,30.864,21.218,MEDIUM,2,True,False,1
PIA,McLaren,69.333,17.074,31.04,21.219,MEDIUM,4,True,False,1
PIA,McLaren,69.376,17.093,31.239,21.044,MEDIUM,6,True,False,1
HAD,Red Bull Racing,69.481,17.158,30.954,21.369,SOFT,2,True,False,1
BOT,Cadillac,69.521,17.072,30.925,21.524,SOFT,2,True,False,1
HAM,Ferrari,69.543,17.28,31.065,21.198,MEDIUM,13,True,False,1
GAS,Alpine,69.546,17.125,31.163,21.258,SOFT,4,True,False,1
BEG,Ferrari,69.565,17.192,31.048,21.325,SOFT,7,True,False,1
IWA,Racing Bulls,69.637,17.33,31.047,21.26,SOFT,7,True,False,1
ALB,Williams,69.644,17.167,30.977,21.5,SOFT,2,True,False,1
ARO,Audi,69.646,17.217,31.271,21.158,SOFT,3,True,False,1
ALB,Williams,69.831,17.184,31.073,21.574,SOFT,5,True,False,1
BEG,Ferrari,69.871,17.167,31.306,21.398,MEDIUM,9,True,False,1
ARO,Audi,69.937,17.185,31.309,21.443,MEDIUM,15,True,False,21
BRO,Williams,69.979,17.267,31.297,21.415,SOFT,3,True,False,1
HUL,Audi,69.994,17.173,31.501,21.32,SOFT,5,True,False,1
BEG,Ferrari,70.005,17.204,31.371,21.43,MEDIUM,11,True,False,1
HAM,Ferrari,70.011,17.249,31.344,21.418,MEDIUM,6,True,False,1
LIN,Racing Bulls,70.02,17.175,31.422,21.423,HARD,12,True,False,1
BEA,Haas F1 Team,70.073,17.23,31.368,21.475,MEDIUM,11,True,False,1
HAM,Ferrari,70.161,17.392,31.32,21.449,MEDIUM,11,True,False,1
BEA,Haas F1 Team,70.17,17.241,31.489,21.44,MEDIUM,14,True,False,1
HUL,Audi,70.282,17.214,31.634,21.434,MEDIUM,12,True,False,1
GAS,Alpine,70.333,17.221,31.395,21.717,HARD,7,True,False,1
BEG,Ferrari,70.345,17.135,31.698,21.512,SOFT,10,True,False,1
GAS,Alpine,70.369,17.336,31.393,21.64,HARD,9,True,False,1
HAD,Red Bull Racing,70.403,17.239,31.558,21.606,SOFT,2,True,False,1
RUS,Mercedes,70.407,17.025,31.835,21.547,MEDIUM,2,True,False,1
LIN,Racing Bulls,70.425,17.294,31.535,21.596,HARD,4,True,False,1
HUL,Audi,70.425,17.366,31.492,21.567,MEDIUM,9,True,False,1
PIA,McLaren,70.445,17.09,31.885,21.47,MEDIUM,15,True,False,1
COL,Alpine,70.45,17.452,31.396,21.602,MEDIUM,8,True,False,1
BEA,Haas F1 Team,70.452,17.213,31.506,21.733,MEDIUM,7,True,False,1
HIR,Haas F1 Team,70.493,17.392,31.293,21.808,SOFT,2,True,False,1
ARO,Audi,70.554,17.433,31.528,21.593,MEDIUM,12,True,False,1
HUL,Audi,70.557,17.245,31.599,21.713,MEDIUM,4,True,False,1
ALB,Williams,70.607,17.243,31.435,21.929,HARD,15,True,False,1
LIN,Racing Bulls,70.629,17.279,31.715,21.635,HARD,9,True,False,1
ARO,Audi,70.646,17.357,31.809,21.48,MEDIUM,9,True,False,1
GAS,Alpine,70.699,17.365,31.589,21.745,HARD,12,True,False,1
ALB,Williams,70.699,17.219,31.526,21.954,HARD,12,True,False,1
HIR,Haas F1 Team,70.753,17.381,31.552,21.82,SOFT,5,True,False,1
ARO,Audi,70.85,17.365,31.854,21.631,MEDIUM,6,True,False,1
ALB,Williams,70.853,17.287,31.552,22.014,HARD,7,True,False,1
BEG,Ferrari,70.856,17.4,31.693,21.763,MEDIUM,7,True,False,1
GAS,Alpine,70.866,17.349,31.68,21.837,HARD,5,True,False,1
BEA,Haas F1 Team,70.907,17.46,31.557,21.89,MEDIUM,4,True,False,1
ANT,Mercedes,71.029,18.046,31.286,21.697,MEDIUM,2,True,False,1
BOT,Cadillac,71.069,17.344,31.554,22.171,HARD,11,True,False,1
BOT,Cadillac,71.116,17.352,31.731,22.033,HARD,9,True,False,1
COL,Alpine,71.126,17.456,31.689,21.981,MEDIUM,5,True,False,1
COL,Alpine,71.15,17.452,31.335,22.363,MEDIUM,11,True,False,1
RUS,Mercedes,71.181,17.411,31.956,21.814,MEDIUM,15,True,False,1
CRA,Aston Martin,71.202,17.737,31.835,21.63,SOFT,3,True,False,1
PER,Cadillac,71.283,17.339,31.952,21.992,HARD,8,True,False,1
ALB,Williams,71.285,17.298,31.642,22.345,HARD,4,True,False,1
ALB,Williams,71.316,17.488,31.672,22.156,HARD,2,True,False,1
ALO,Aston Martin,71.333,17.741,31.62,21.972,SOFT,2,True,False,1
ANT,Mercedes,71.367,17.435,31.943,21.989,MEDIUM,15,True,False,1
RUS,Mercedes,71.385,17.491,32.014,21.88,MEDIUM,14,True,False,1
BRO,Williams,71.428,17.421,32.015,21.992,HARD,12,True,False,1
BOT,Cadillac,71.438,17.389,31.924,22.125,HARD,6,True,False,1
VER,Red Bull Racing,71.445,17.469,32.017,21.959,SOFT,6,True,False,1
PER,Cadillac,71.543,17.453,31.855,22.235,HARD,5,True,False,1
ARO,Audi,71.586,17.509,32.021,22.056,MEDIUM,4,True,False,1
ANT,Mercedes,71.666,17.463,32.133,22.07,MEDIUM,14,True,False,1
COL,Alpine,71.721,17.446,31.867,22.408,MEDIUM,2,True,False,1
VER,Red Bull Racing,71.867,17.558,32.105,22.204,SOFT,5,True,False,1
BEA,Haas F1 Team,71.936,17.646,31.893,22.397,MEDIUM,2,True,False,1
BRO,Williams,72.045,17.596,31.957,22.492,HARD,10,True,False,1
GAS,Alpine,72.059,17.486,32.21,22.363,HARD,2,True,False,1
HIR,Haas F1 Team,72.185,17.522,32.502,22.161,MEDIUM,10,True,False,1
CRA,Aston Martin,72.24,17.841,32.228,22.171,HARD,9,True,False,1
LIN,Racing Bulls,72.263,17.824,32.246,22.193,HARD,2,True,False,1
ALO,Aston Martin,72.269,17.867,32.115,22.287,HARD,4,True,False,1
ALO,Aston Martin,72.294,17.916,32.093,22.285,HARD,6,True,False,1
BEG,Ferrari,72.322,17.773,32.129,22.42,MEDIUM,5,True,False,1
CRA,Aston Martin,72.363,17.972,32.22,22.171,HARD,12,True,False,1
BOT,Cadillac,72.379,17.608,32.154,22.617,HARD,3,True,False,1
HIR,Haas F1 Team,72.484,17.546,32.598,22.34,MEDIUM,9,True,False,1
HIR,Haas F1 Team,72.489,17.505,32.775,22.209,MEDIUM,8,True,False,1
CRA,Aston Martin,72.495,17.947,32.335,22.213,HARD,14,True,False,1
COL,Alpine,72.53,17.48,32.434,22.616,MEDIUM,14,True,False,1
GAS,Alpine,72.538,17.466,32.597,22.475,HARD,15,True,False,1
HUL,Audi,72.541,17.588,33.007,21.946,MEDIUM,2,True,False,1
ALB,Williams,72.579,17.599,32.357,22.623,SOFT,8,True,False,1
IWA,Racing Bulls,72.62,17.579,32.649,22.392,HARD,10,True,False,1
ALB,Williams,72.785,17.65,32.497,22.638,SOFT,10,True,False,1
ALB,Williams,72.785,17.693,32.477,22.615,SOFT,9,True,False,1
IWA,Racing Bulls,72.788,17.576,32.603,22.609,HARD,9,True,False,1
COL,Alpine,72.789,17.599,32.679,22.511,MEDIUM,15,True,False,1
BOT,Cadillac,72.81,17.701,32.401,22.708,SOFT,5,True,False,1
IWA,Racing Bulls,72.864,17.624,32.672,22.568,HARD,11,True,False,1
ALO,Aston Martin,72.876,17.948,32.399,22.529,HARD,10,True,False,1
ALO,Aston Martin,72.902,17.996,32.37,22.536,HARD,14,True,False,1
CRA,Aston Martin,72.93,17.974,32.61,22.346,HARD,7,True,False,1
HIR,Haas F1 Team,72.978,17.762,32.781,22.435,MEDIUM,14,True,False,1
ALO,Aston Martin,73.024,17.963,32.405,22.656,HARD,2,True,False,1
