Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
RUS,,76.363,22.28,30.798,23.285,SOFT,2,True,False,1
PIA,,76.566,22.225,31.068,23.273,SOFT,2,True,False,1
LEC,,76.883,22.532,30.905,23.446,SOFT,2,True,False,1
VER,,77.047,22.406,31.126,23.515,SOFT,2,True,False,12
FOR,,77.216,22.584,31.338,23.294,SOFT,2,True,False,1
ARO,,77.321,22.474,31.371,23.476,SOFT,2,True,False,1
RUS,,77.353,22.355,31.347,23.651,MEDIUM,5,True,False,1
LEC,,77.36,22.778,31.048,23.534,SOFT,5,True,False,1
RUS,,77.414,22.618,31.199,23.597,MEDIUM,2,True,False,1
RUS,,77.441,22.548,31.224,23.669,MEDIUM,8,True,False,1
PIA,,77.463,22.214,31.691,23.558,SOFT,5,True,False,1
LAW,,77.472,22.455,31.285,23.732,SOFT,2,True,False,1
PIA,,77.555,22.341,31.496,23.718,MEDIUM,7,True,False,1
PIA,,77.619,22.573,31.233,23.813,MEDIUM,4,True,False,1
PIA,,77.667,22.45,31.543,23.674,MEDIUM,10,True,False,1
VER,,77.675,22.651,31.389,23.635,SOFT,5,True,False,1
BEG,,77.778,22.825,31.368,23.585,SOFT,2,True,False,1
LIN,,77.804,22.738,31.305,23.761,SOFT,2,True,False,21
COL,,77.893,22.614,31.541,23.738,SOFT,2,True,False,1
LEC,,78.009,22.839,31.225,23.945,MEDIUM,5,True,False,1
LAW,,78.061,22.819,31.505,23.737,MEDIUM,6,True,False,1
LIN,,78.141,22.675,31.66,23.806,SOFT,5,True,False,1
BEA,,78.172,22.724,31.453,23.995,SOFT,2,True,False,1
BOR,,78.209,22.69,31.614,23.905,SOFT,2,True,False,1
ARO,,78.247,22.769,31.791,23.687,SOFT,10,True,False,1
SAI,,78.293,22.783,31.665,23.845,SOFT,3,True,False,1
IWA,,78.298,22.823,31.582,23.893,SOFT,2,True,False,1
BEG,,78.32,22.817,31.723,23.78,SOFT,7,True,False,1
VES,,78.365,23.212,31.606,23.547,SOFT,8,True,False,1
OCO,,78.372,22.823,31.559,23.99,SOFT,2,True,False,1
LAW,,78.397,23.071,31.375,23.951,MEDIUM,3,True,False,1
VES,,78.447,23.18,31.7,23.567,SOFT,5,True,False,12
LIN,,78.501,22.764,31.695,24.042,MEDIUM,4,True,False,1
GAS,,78.508,22.879,31.899,23.73,SOFT,2,True,False,1
VER,,78.511,22.919,31.597,23.995,MEDIUM,2,True,False,1
ARO,,78.515,23.007,31.933,23.575,SOFT,7,True,False,1
ARO,,78.579,22.704,31.92,23.955,SOFT,5,True,False,1
FOR,,78.584,22.848,31.792,23.944,MEDIUM,8,True,False,1
VER,,78.614,22.779,31.862,23.973,MEDIUM,9,True,False,1
FOR,,78.622,22.75,31.988,23.884,MEDIUM,10,True,False,1
COL,,78.73,22.852,31.902,23.976,SOFT,5,True,False,1
LEC,,78.731,22.975,31.743,24.013,MEDIUM,10,True,False,1
BOR,,78.783,22.863,31.994,23.926,SOFT,5,True,False,1
VER,,78.879,22.872,31.986,24.021,MEDIUM,7,True,False,1
PIA,,78.885,23.171,31.748,23.966,MEDIUM,2,True,False,1
BOT,,78.914,23.101,31.785,24.028,SOFT,2,True,False,1
VER,,78.93,22.809,31.418,24.703,MEDIUM,4,True,False,1
LEC,,79.152,23.19,31.856,24.106,MEDIUM,3,True,False,1
VES,,79.163,23.113,32.003,24.047,SOFT,2,True,False,1
COL,,79.169,23.125,32.094,23.95,MEDIUM,10,True,False,1
LIN,,79.17,22.581,32.166,24.423,MEDIUM,7,True,False,1
FOR,,79.19,22.835,32.35,24.005,SOFT,6,True,False,1
LIN,,79.258,23.383,31.826,24.049,MEDIUM,2,True,False,1
ARO,,79.313,23.374,32.166,23.773,SOFT,4,True,False,1
SAI,,79.337,23.21,32.023,24.104,MEDIUM,3,True,False,1
GAS,,79.401,23.269,32.126,24.006,MEDIUM,7,True,False,1
BOT,,79.42,23.195,31.925,24.3,SOFT,5,True,False,1
COL,,79.461,23.084,32.199,24.178,MEDIUM,7,True,False,1
IWA,,79.509,23.179,32.213,24.117,MEDIUM,9,True,False,1
BOR,,79.652,23.012,32.272,24.368,MEDIUM,10,True,False,1
BOR,,79.745,23.247,32.275,24.223,MEDIUM,7,True,False,1
IWA,,79.749,23.21,32.074,24.465,SOFT,5,True,False,1
SAI,,79.831,23.25,32.228,24.353,MEDIUM,8,True,False,1
GAS,,79.864,23.583,32.116,24.165,MEDIUM,4,True,False,1
VES,,79.904,23.412,32.049,24.443,MEDIUM,3,True,False,1
LIN,,79.911,22.895,32.407,24.609,MEDIUM,10,True,False,1
COL,,79.914,23.442,32.417,24.055,MEDIUM,4,True,False,1
ALO,,80.067,23.165,32.47,24.432,SOFT,2,True,False,1
GAS,,80.076,23.062,32.627,24.387,MEDIUM,10,True,False,1
BOT,,80.093,23.408,32.139,24.546,MEDIUM,6,True,False,1
OCO,,80.194,23.285,32.223,24.686,HARD,8,True,False,1
FOR,,80.242,23.236,32.842,24.164,SOFT,8,True,False,1
BEA,,80.272,23.309,32.391,24.572,HARD,10,True,False,1
STR,,80.318,23.986,32.261,24.071,SOFT,2,True,False,1
STR,,80.347,23.419,32.457,24.471,SOFT,5,True,False,1
BEG,,80.412,23.1,32.297,25.015,SOFT,9,True,False,1
PIA,,80.419,23.369,32.683,24.367,SOFT,10,True,False,1
BEA,,80.491,23.493,32.344,24.654,HARD,7,True,False,1
IWA,,80.527,23.529,32.458,24.54,MEDIUM,7,True,False,1
BOR,,80.554,23.313,32.499,24.742,MEDIUM,4,True,False,1
STR,,80.617,23.383,32.706,24.528,SOFT,8,True,False,1
HER,,80.697,23.664,32.629,24.404,SOFT,5,True,False,1
HER,,80.716,23.866,32.499,24.351,SOFT,2,True,False,1
OCO,,80.771,23.55,32.188,25.033,HARD,5,True,False,1
BOT,,80.849,23.377,32.292,25.18,MEDIUM,9,True,False,1
RUS,,80.994,23.754,32.804,24.436,SOFT,7,True,False,1
BEG,,81.012,23.568,32.746,24.698,MEDIUM,5,True,False,1
BEA,,81.072,23.443,32.617,25.012,HARD,4,True,False,1
PIA,,81.201,23.497,33.001,24.703,SOFT,9,True,False,1
ALO,,81.227,23.5,32.886,24.841,MEDIUM,4,True,False,1
RUS,,81.231,23.782,32.911,24.538,SOFT,6,True,False,1
BEG,,81.231,23.7,32.881,24.65,MEDIUM,8,True,False,1
BOT,,81.245,23.717,32.884,24.644,SOFT,7,True,False,1
ARO,,81.283,23.708,33.166,24.409,SOFT,9,True,False,1
STR,,81.283,23.564,32.892,24.827,MEDIUM,4,True,False,1
ALO,,81.287,23.296,32.616,25.375,SOFT,5,True,False,1
COL,,81.293,23.451,33.082,24.76,SOFT,8,True,False,1
HER,,81.363,23.845,32.648,24.87,SOFT,10,True,False,1
ALO,,81.435,23.575,33.015,24.845,MEDIUM,6,True,False,1
STR,,81.439,23.516,33.08,24.843,MEDIUM,2,True,False,1
RUS,,81.453,23.649,33.147,24.657,SOFT,10,True,False,1
VER,,81.553,23.44,33.312,24.801,SOFT,9,True,False,1
BOR,,81.574,23.598,33.126,24.85,SOFT,10,True,False,1
BEG,,81.6,24.212,32.702,24.686,MEDIUM,6,True,False,1
ARO,,81.656,23.71,33.314,24.632,SOFT,8,True,False,1
COL,,81.698,23.543,33.119,25.036,SOFT,9,True,False,1
STR,,81.71,23.583,33.009,25.118,MEDIUM,10,True,False,1
COL,,81.738,23.674,33.078,24.986,SOFT,10,True,False,1
VER,,81.756,23.598,33.269,24.889,SOFT,10,True,False,1
RUS,,81.768,23.73,33.389,24.649,SOFT,5,True,False,1
VER,,81.774,23.724,33.232,24.818,SOFT,8,True,False,1
BOT,,81.809,23.829,33.026,24.954,SOFT,8,True,False,1
RUS,,81.866,23.604,33.112,25.15,SOFT,8,True,False,1
BEG,,81.94,24.012,32.945,24.983,MEDIUM,7,True,False,1
OCO,,81.947,24.111,32.6,25.236,HARD,2,True,False,1
STR,,81.957,24.007,32.691,25.259,MEDIUM,2,True,False,1
HER,,82.017,23.855,32.754,25.408,SOFT,7,True,False,1
BEA,,82.111,23.932,33.193,24.986,SOFT,5,True,False,1
PIA,,82.259,23.624,33.653,24.982,SOFT,8,True,False,1
RUS,,82.387,23.949,33.575,24.863,SOFT,9,True,False,1
