Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,RUS,Mercedes,1:15.679,75.679,SOFT,2.0,1,22.301,30.376,23.002
2,PIA,McLaren,1:15.893,75.893,SOFT,2.0,1,22.264,30.721,22.908
3,LEC,Ferrari,1:15.922,75.922,SOFT,2.0,1,22.239,30.635,23.048
4,NOR,McLaren,1:15.925,75.925,SOFT,2.0,1,22.214,30.7,23.011
5,HAM,Ferrari,1:16.381,76.381,SOFT,2.0,1,22.474,30.806,23.101
6,VER,Red Bull Racing,1:16.434,76.434,SOFT,2.0,1,22.41,30.654,23.37
7,ANT,Mercedes,1:16.500,76.5,SOFT,2.0,1,22.473,30.711,23.316
8,HAD,Red Bull Racing,1:16.684,76.684,SOFT,6.0,1,22.441,30.82,23.423
9,HUL,Audi,1:16.961,76.961,SOFT,2.0,1,22.55,31.253,23.158
10,LIN,Racing Bulls,1:17.020,77.02,SOFT,2.0,1,22.579,31.05,23.391
11,BOR,Audi,1:17.027,77.027,SOFT,2.0,1,22.431,31.156,23.44
12,LAW,Racing Bulls,1:17.324,77.324,SOFT,2.0,1,22.559,31.166,23.599
13,GAS,Alpine,1:17.583,77.583,SOFT,4.0,1,22.694,31.334,23.555
14,COL,Alpine,1:17.625,77.625,SOFT,2.0,1,22.624,31.467,23.534
15,SAI,Williams,1:17.730,77.73,SOFT,2.0,1,22.883,31.396,23.451
16,OCO,Haas F1 Team,1:18.040,78.04,SOFT,4.0,1,22.907,31.491,23.642
17,BEA,Haas F1 Team,1:18.391,78.391,SOFT,3.0,1,23.022,31.591,23.778
18,ALB,Williams,1:18.412,78.412,SOFT,4.0,1,23.045,31.705,23.662
19,PER,Cadillac,1:18.691,78.691,SOFT,2.0,1,23.245,31.465,23.981
20,ALO,Aston Martin,1:19.496,79.496,SOFT,2.0,1,23.152,32.353,23.991
21,BOT,Cadillac,1:19.962,79.962,SOFT,5.0,1,23.373,32.226,24.363
22,STR,Aston Martin,1:20.103,80.103,SOFT,2.0,1,23.29,32.616,24.197
