Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
VER,Red Bull Racing,107.07,30.974,47.308,28.788,SOFT,2,True,False,1
HAM,Ferrari,107.215,30.941,47.421,28.853,SOFT,4,True,False,1
LEC,Ferrari,107.277,31.02,47.281,28.976,SOFT,4,True,False,1
HAD,Red Bull Racing,107.322,30.983,47.503,28.836,SOFT,2,True,False,1
LEC,Ferrari,107.49,31.14,47.544,28.806,SOFT,2,True,False,1
PIA,McLaren,107.522,30.91,47.383,29.229,SOFT,2,True,False,1
ANT,Mercedes,107.603,30.715,48.177,28.711,SOFT,2,True,False,1
HAD,Red Bull Racing,107.633,31.295,47.495,28.843,SOFT,4,True,False,1
HAM,Ferrari,107.711,31.297,47.416,28.998,SOFT,2,True,False,1
HAD,Red Bull Racing,107.778,31.187,47.64,28.951,SOFT,6,True,False,1
VER,Red Bull Racing,107.859,31.045,48.055,28.759,MEDIUM,6,True,False,1
NOR,McLaren,107.931,30.972,47.78,29.179,SOFT,2,True,False,1
RUS,Mercedes,107.959,30.693,48.29,28.976,SOFT,2,True,False,1
HAM,Ferrari,108.056,31.293,47.821,28.942,MEDIUM,8,True,False,1
LEC,Ferrari,108.145,31.405,48.052,28.688,MEDIUM,8,True,False,1
LIN,Racing Bulls,108.234,30.967,48.211,29.056,SOFT,2,True,False,1
VER,Red Bull Racing,108.237,31.056,48.112,29.069,MEDIUM,4,True,False,1
HAM,Ferrari,108.366,31.358,47.981,29.027,MEDIUM,6,True,False,1
BOR,Audi,108.406,31.189,48.078,29.139,SOFT,2,True,False,1
LIN,Racing Bulls,108.42,31.108,48.198,29.114,SOFT,6,True,False,1
LAW,Racing Bulls,108.432,31.279,48.182,28.971,SOFT,4,True,False,1
HAD,Red Bull Racing,108.464,31.502,47.721,29.241,SOFT,4,True,False,1
LEC,Ferrari,108.577,31.346,48.225,29.006,MEDIUM,6,True,False,1
LAW,Racing Bulls,108.58,31.302,48.075,29.203,SOFT,2,True,False,1
NOR,McLaren,108.592,31.198,47.705,29.689,SOFT,4,True,False,1
LIN,Racing Bulls,108.652,30.989,48.353,29.31,SOFT,4,True,False,1
HAM,Ferrari,108.842,31.429,48.189,29.224,MEDIUM,4,True,False,1
NOR,McLaren,108.903,31.406,48.007,29.49,SOFT,4,True,False,1
HAD,Red Bull Racing,108.918,31.189,48.483,29.246,SOFT,2,True,False,1
HUL,Audi,108.962,31.741,47.829,29.392,SOFT,2,True,False,1
LEC,Ferrari,108.969,31.327,48.413,29.229,MEDIUM,4,True,False,1
BEA,Haas F1 Team,109.01,31.161,48.929,28.92,SOFT,2,True,False,1
BOR,Audi,109.24,31.371,48.681,29.188,HARD,8,True,False,1
VER,Red Bull Racing,109.307,31.174,49.044,29.089,MEDIUM,2,True,False,1
ALB,Williams,109.337,30.999,49.143,29.195,SOFT,4,True,False,1
LIN,Racing Bulls,109.343,31.16,48.737,29.446,MEDIUM,6,True,False,1
COL,Alpine,109.403,31.326,48.618,29.459,SOFT,2,True,False,1
LAW,Racing Bulls,109.427,31.318,48.626,29.483,MEDIUM,4,True,False,1
COL,Alpine,109.433,31.201,49.064,29.168,SOFT,8,True,False,1
OCO,Haas F1 Team,109.449,31.392,48.908,29.149,SOFT,2,True,False,1
COL,Alpine,109.493,31.237,49.112,29.144,SOFT,6,True,False,1
RUS,Mercedes,109.577,31.122,49.218,29.237,MEDIUM,7,True,False,1
PIA,McLaren,109.585,31.047,48.8,29.738,MEDIUM,9,True,False,1
GAS,Alpine,109.712,31.439,48.638,29.635,SOFT,2,True,False,1
LIN,Racing Bulls,109.765,31.226,49.049,29.49,MEDIUM,4,True,False,1
ALB,Williams,109.79,31.341,49.218,29.231,SOFT,2,True,False,1
PIA,McLaren,109.801,32.112,48.442,29.247,MEDIUM,5,True,False,1
BOR,Audi,109.825,31.626,48.69,29.509,HARD,6,True,False,1
BOT,Cadillac,109.839,31.377,49.123,29.339,SOFT,2,True,False,1
LEC,Ferrari,109.887,31.644,48.838,29.405,MEDIUM,2,True,False,1
COL,Alpine,109.907,31.56,48.911,29.436,SOFT,4,True,False,1
RUS,Mercedes,109.928,31.278,49.354,29.296,MEDIUM,4,True,False,1
NOR,McLaren,109.949,31.537,48.723,29.689,SOFT,7,True,False,1
LAW,Racing Bulls,110.118,31.418,49.355,29.345,MEDIUM,2,True,False,1
BEA,Haas F1 Team,110.152,31.509,49.556,29.087,MEDIUM,13,True,False,1
BOR,Audi,110.166,31.479,49.125,29.562,HARD,4,True,False,1
PER,Cadillac,110.226,31.248,49.419,29.559,SOFT,2,True,False,1
PIA,McLaren,110.25,31.315,49.298,29.637,MEDIUM,13,True,False,1
COL,Alpine,110.335,31.418,49.23,29.687,HARD,11,True,False,1
ANT,Mercedes,110.397,31.825,49.503,29.069,MEDIUM,2,True,False,1
NOR,McLaren,110.406,31.488,49.026,29.892,SOFT,2,True,False,1
HUL,Audi,110.435,31.791,48.998,29.646,HARD,7,True,False,1
HAM,Ferrari,110.438,31.519,49.642,29.277,MEDIUM,2,True,False,1
ALB,Williams,110.447,31.11,49.793,29.544,MEDIUM,6,True,False,1
GAS,Alpine,110.511,31.745,49.529,29.237,HARD,9,True,False,1
BOR,Audi,110.547,31.456,49.511,29.58,SOFT,7,True,False,1
PIA,McLaren,110.557,31.381,49.574,29.602,MEDIUM,14,True,False,1
BEA,Haas F1 Team,110.58,31.465,49.79,29.325,MEDIUM,10,True,False,1
RUS,Mercedes,110.654,31.315,49.739,29.6,MEDIUM,2,True,False,1
BOR,Audi,110.756,31.73,49.35,29.676,SOFT,6,True,False,1
OCO,Haas F1 Team,110.773,31.81,49.456,29.507,SOFT,5,True,False,1
PIA,McLaren,110.78,31.739,49.397,29.644,MEDIUM,15,True,False,1
ALB,Williams,110.816,31.534,49.653,29.629,MEDIUM,4,True,False,1
HUL,Audi,110.823,31.916,49.104,29.803,HARD,5,True,False,1
SAI,Williams,110.862,31.661,49.324,29.877,SOFT,4,True,False,1
BOR,Audi,110.895,31.446,49.654,29.795,SOFT,8,True,False,1
BOR,Audi,110.992,31.651,49.542,29.799,HARD,2,True,False,1
BOT,Cadillac,111.0,31.405,50.097,29.498,HARD,9,True,False,1
COL,Alpine,111.138,31.847,49.919,29.372,HARD,7,True,False,1
COL,Alpine,111.223,31.786,49.696,29.741,HARD,4,True,False,1
NOR,McLaren,111.284,32.761,48.724,29.799,SOFT,6,True,False,1
GAS,Alpine,111.286,31.832,49.887,29.567,HARD,6,True,False,1
OCO,Haas F1 Team,111.3,31.841,49.924,29.535,MEDIUM,13,True,False,1
PIA,McLaren,111.33,32.498,49.378,29.454,MEDIUM,2,True,False,1
PER,Cadillac,111.364,31.858,49.77,29.736,SOFT,4,True,False,1
BOT,Cadillac,111.431,31.237,50.443,29.751,HARD,4,True,False,1
LIN,Racing Bulls,111.45,31.527,50.114,29.809,MEDIUM,2,True,False,1
HAM,Ferrari,111.525,32.007,49.667,29.851,SOFT,8,True,False,1
VER,Red Bull Racing,111.564,31.959,49.949,29.656,MEDIUM,9,True,False,1
HAM,Ferrari,111.576,31.932,49.74,29.904,SOFT,7,True,False,1
GAS,Alpine,111.608,31.942,49.921,29.745,HARD,4,True,False,1
BOT,Cadillac,111.64,31.754,50.347,29.539,HARD,7,True,False,1
HUL,Audi,111.64,31.956,49.473,30.211,HARD,2,True,False,1
VER,Red Bull Racing,111.694,32.151,49.979,29.564,MEDIUM,10,True,False,1
HAM,Ferrari,111.721,31.893,49.996,29.832,SOFT,9,True,False,1
VER,Red Bull Racing,111.735,31.824,50.125,29.786,MEDIUM,12,True,False,1
HAD,Red Bull Racing,111.776,31.804,50.38,29.592,SOFT,8,True,False,1
VER,Red Bull Racing,111.776,31.89,50.107,29.779,MEDIUM,11,True,False,1
OCO,Haas F1 Team,111.836,31.829,50.307,29.7,MEDIUM,11,True,False,1
PER,Cadillac,111.852,31.682,50.132,30.038,HARD,9,True,False,1
LEC,Ferrari,111.853,31.873,49.939,30.041,MEDIUM,11,True,False,1
ANT,Mercedes,111.978,31.71,50.443,29.825,MEDIUM,12,True,False,1
PER,Cadillac,112.031,31.724,50.105,30.202,HARD,4,True,False,1
PER,Cadillac,112.035,31.675,50.441,29.919,HARD,7,True,False,1
BEA,Haas F1 Team,112.053,31.897,50.428,29.728,MEDIUM,3,True,False,1
ANT,Mercedes,112.075,31.676,50.513,29.886,MEDIUM,14,True,False,1
ANT,Mercedes,112.087,31.686,50.55,29.851,MEDIUM,13,True,False,1
HAM,Ferrari,112.103,32.171,50.179,29.753,SOFT,11,True,False,1
ALB,Williams,112.125,32.1,50.053,29.972,MEDIUM,2,True,False,1
ANT,Mercedes,112.215,31.516,50.771,29.928,MEDIUM,11,True,False,1
HAD,Red Bull Racing,112.223,31.9,50.455,29.868,SOFT,10,True,False,1
GAS,Alpine,112.228,32.092,50.24,29.896,HARD,2,True,False,1
RUS,Mercedes,112.29,31.667,50.7,29.923,MEDIUM,11,True,False,1
LEC,Ferrari,112.326,32.248,50.385,29.693,MEDIUM,14,True,False,12
RUS,Mercedes,112.337,31.782,50.678,29.877,MEDIUM,10,True,False,1
