Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,HAM,Ferrari,1:18.729,78.729,SOFT,6.0,1,27.673,28.449,22.607
2,LEC,Ferrari,1:18.877,78.877,SOFT,5.0,1,27.689,28.492,22.696
3,NOR,McLaren,1:19.228,79.228,SOFT,2.0,1,27.782,28.54,22.906
4,VER,Red Bull Racing,1:19.421,79.421,SOFT,2.0,1,27.827,28.636,22.958
5,RUS,Mercedes,1:19.662,79.662,SOFT,2.0,1,27.855,28.699,23.108
6,HAD,Red Bull Racing,1:19.800,79.8,SOFT,2.0,1,27.981,28.794,23.025
7,LAW,Racing Bulls,1:20.041,80.041,SOFT,5.0,1,28.116,28.838,23.087
8,PIA,McLaren,1:20.101,80.101,SOFT,5.0,1,27.819,28.798,23.484
9,HUL,Audi,1:20.125,80.125,SOFT,6.0,1,28.06,28.903,23.162
10,LIN,Racing Bulls,1:20.253,80.253,SOFT,5.0,1,28.033,28.845,23.375
11,BOR,Audi,1:20.474,80.474,SOFT,6.0,1,28.225,29.191,23.058
12,OCO,Haas F1 Team,1:20.557,80.557,SOFT,2.0,1,28.256,29.101,23.2
13,ANT,Mercedes,1:20.693,80.693,MEDIUM,10.0,1,28.061,29.327,23.305
14,GAS,Alpine,1:20.816,80.816,SOFT,5.0,1,28.07,29.429,23.317
15,BEA,Haas F1 Team,1:20.950,80.95,SOFT,4.0,1,28.271,29.314,23.365
16,ALB,Williams,1:20.973,80.973,SOFT,2.0,1,28.137,29.38,23.456
17,SAI,Williams,1:21.426,81.426,SOFT,2.0,1,28.332,29.531,23.563
18,BOT,Cadillac,1:21.442,81.442,SOFT,5.0,1,28.301,29.895,23.246
19,ALO,Aston Martin,1:21.719,81.719,SOFT,3.0,1,28.691,29.543,23.485
20,PER,Cadillac,1:21.792,81.792,SOFT,2.0,1,28.436,29.833,23.523
21,COL,Alpine,1:22.531,82.531,MEDIUM,5.0,1,28.744,30.085,23.702
