Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
NOR,McLaren,77.939,27.632,27.839,22.468,SOFT,6,True,False,1
HAM,Ferrari,78.056,27.589,28.314,22.153,SOFT,2,True,False,1
ANT,Mercedes,78.068,27.751,27.933,22.384,SOFT,5,True,False,1
NOR,McLaren,78.206,27.619,27.889,22.698,SOFT,3,True,False,1
ANT,Mercedes,78.254,27.648,28.032,22.574,SOFT,2,True,False,1
LEC,Ferrari,78.291,27.665,28.277,22.349,SOFT,2,True,False,1
LEC,Ferrari,78.343,27.687,28.244,22.412,SOFT,6,True,False,1
PIA,McLaren,78.438,27.778,28.109,22.551,SOFT,6,True,False,1
PIA,McLaren,78.464,27.923,27.984,22.557,SOFT,2,True,False,1
LEC,Ferrari,78.54,27.755,28.329,22.456,SOFT,8,True,False,1
RUS,Mercedes,78.541,27.9,28.319,22.322,SOFT,7,True,False,1
HAM,Ferrari,78.632,27.694,28.338,22.6,SOFT,6,True,False,1
VER,Red Bull Racing,78.656,27.652,28.282,22.722,SOFT,2,True,False,1
LEC,Ferrari,78.668,27.908,28.174,22.586,SOFT,9,True,False,1
ANT,Mercedes,78.812,27.862,28.378,22.572,SOFT,6,True,False,1
RUS,Mercedes,78.869,27.85,28.391,22.628,SOFT,4,True,False,1
HAD,Red Bull Racing,78.943,27.845,28.337,22.761,SOFT,7,True,False,1
VER,Red Bull Racing,78.972,27.912,28.32,22.74,SOFT,5,True,False,1
HAD,Red Bull Racing,79.052,28.034,28.365,22.653,SOFT,4,True,False,1
HAM,Ferrari,79.053,27.809,28.751,22.493,SOFT,6,True,False,1
NOR,McLaren,79.062,27.98,28.42,22.662,SOFT,2,True,False,1
HAD,Red Bull Racing,79.085,27.983,28.373,22.729,SOFT,7,True,False,1
LAW,Racing Bulls,79.088,28.145,28.258,22.685,SOFT,2,True,False,1
HUL,Audi,79.16,27.936,28.352,22.872,SOFT,2,True,False,1
PIA,McLaren,79.236,27.877,28.528,22.831,SOFT,8,True,False,1
VER,Red Bull Racing,79.281,27.955,28.265,23.061,SOFT,4,True,False,1
RUS,Mercedes,79.286,27.871,28.857,22.558,SOFT,3,True,False,1
BOR,Audi,79.338,28.061,28.497,22.78,SOFT,2,True,False,1
HAD,Red Bull Racing,79.358,28.144,28.595,22.619,SOFT,2,True,False,1
LEC,Ferrari,79.387,27.981,28.902,22.504,SOFT,6,True,False,1
PIA,McLaren,79.543,28.237,28.366,22.94,SOFT,10,True,False,1
VER,Red Bull Racing,79.564,27.982,28.94,22.642,SOFT,2,True,False,1
BOR,Audi,79.666,28.057,28.753,22.856,SOFT,5,True,False,1
GAS,Alpine,79.723,27.95,28.95,22.823,SOFT,2,True,False,1
NOR,McLaren,79.881,27.899,28.499,23.483,SOFT,6,True,False,1
LIN,Racing Bulls,79.895,28.079,28.647,23.169,SOFT,4,True,False,1
PIA,McLaren,79.918,28.221,28.834,22.863,SOFT,2,True,False,1
LAW,Racing Bulls,80.035,28.279,28.669,23.087,MEDIUM,8,True,False,1
COL,Alpine,80.055,28.037,28.954,23.064,SOFT,2,True,False,1
LIN,Racing Bulls,80.073,28.32,28.849,22.904,SOFT,2,True,False,1
LEC,Ferrari,80.155,28.331,29.093,22.731,SOFT,2,True,False,1
OCO,Haas F1 Team,80.295,28.279,29.047,22.969,SOFT,2,True,False,1
BEA,Haas F1 Team,80.312,28.198,29.132,22.982,SOFT,5,True,False,1
LAW,Racing Bulls,80.317,28.614,28.849,22.854,MEDIUM,2,True,False,1
BEA,Haas F1 Team,80.346,28.206,29.278,22.862,SOFT,2,True,False,1
LEC,Ferrari,80.376,28.126,29.097,23.153,SOFT,12,True,False,1
HUL,Audi,80.392,28.29,28.864,23.238,MEDIUM,5,True,False,1
ALO,Aston Martin,80.393,28.349,28.945,23.099,SOFT,2,True,False,1
HUL,Audi,80.403,28.275,28.992,23.136,MEDIUM,9,True,False,1
LEC,Ferrari,80.471,28.137,29.013,23.321,SOFT,13,True,False,1
GAS,Alpine,80.471,28.227,29.104,23.14,SOFT,12,True,False,1
NOR,McLaren,80.493,28.065,28.208,24.22,SOFT,9,True,False,1
HAM,Ferrari,80.505,28.643,29.26,22.602,SOFT,2,True,False,1
HAM,Ferrari,80.527,28.328,29.28,22.919,SOFT,10,True,False,1
GAS,Alpine,80.546,28.155,29.127,23.264,SOFT,6,True,False,1
BOR,Audi,80.573,28.278,29.02,23.275,MEDIUM,7,True,False,1
HUL,Audi,80.643,28.348,29.149,23.146,MEDIUM,2,True,False,1
OCO,Haas F1 Team,80.652,28.526,29.053,23.073,SOFT,5,True,False,1
HAM,Ferrari,80.718,28.449,29.289,22.98,SOFT,11,True,False,1
ALO,Aston Martin,80.788,28.539,29.249,23.0,SOFT,7,True,False,1
OCO,Haas F1 Team,80.849,28.508,29.201,23.14,SOFT,9,True,False,1
HAM,Ferrari,80.893,28.396,29.316,23.181,SOFT,12,True,False,1
STR,Aston Martin,80.933,28.877,28.947,23.109,SOFT,3,True,False,1
