Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,LEC,Ferrari,1:13.978,73.978,MEDIUM,6.0,1,19.491,34.858,19.629
2,HAM,Ferrari,1:14.204,74.204,MEDIUM,5.0,1,19.518,34.896,19.79
3,VER,Red Bull Racing,1:14.491,74.491,MEDIUM,7.0,12,19.653,35.157,19.681
4,ANT,Mercedes,1:14.537,74.537,MEDIUM,5.0,1,19.52,35.161,19.856
5,RUS,Mercedes,1:14.983,74.983,MEDIUM,14.0,1,19.51,35.546,19.927
6,NOR,McLaren,1:15.291,75.291,MEDIUM,9.0,1,19.804,35.327,20.16
7,HUL,Audi,1:15.343,75.343,MEDIUM,5.0,1,19.833,35.425,20.085
8,PIA,McLaren,1:15.565,75.565,MEDIUM,11.0,1,19.764,35.638,20.163
9,BOR,Audi,1:15.750,75.75,MEDIUM,9.0,12,19.735,35.927,20.088
10,GAS,Alpine,1:15.828,75.828,MEDIUM,7.0,12,19.955,35.738,20.135
11,ALB,Williams,1:15.989,75.989,MEDIUM,3.0,1,20.096,35.869,20.024
12,SAI,Williams,1:16.041,76.041,MEDIUM,6.0,1,19.91,35.795,20.336
13,HAD,Red Bull Racing,1:16.148,76.148,HARD,13.0,1,19.97,35.9,20.278
14,PER,Cadillac,1:16.170,76.17,SOFT,6.0,1,20.199,35.718,20.253
15,COL,Alpine,1:16.189,76.189,MEDIUM,5.0,1,20.001,35.901,20.287
16,BEA,Haas F1 Team,1:16.292,76.292,MEDIUM,5.0,1,20.114,35.878,20.3
17,OCO,Haas F1 Team,1:16.333,76.333,MEDIUM,7.0,1,20.075,35.821,20.437
18,LIN,Racing Bulls,1:16.389,76.389,MEDIUM,10.0,1,20.197,36.101,20.091
19,LAW,Racing Bulls,1:16.431,76.431,MEDIUM,5.0,1,20.26,35.981,20.19
20,ALO,Aston Martin,1:16.678,76.678,MEDIUM,6.0,1,20.262,36.023,20.393
21,BOT,Cadillac,1:17.460,77.46,SOFT,6.0,1,20.666,36.346,20.448
22,STR,Aston Martin,1:17.556,77.556,MEDIUM,12.0,1,20.548,36.437,20.571
