Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
LEC,Ferrari,73.978,19.491,34.858,19.629,MEDIUM,6,True,False,1
HAM,Ferrari,74.204,19.518,34.896,19.79,MEDIUM,5,True,False,1
VER,Red Bull Racing,74.491,19.653,35.157,19.681,MEDIUM,7,True,False,12
ANT,Mercedes,74.537,19.52,35.161,19.856,MEDIUM,5,True,False,1
LEC,Ferrari,74.749,19.843,35.016,19.89,MEDIUM,2,True,False,1
VER,Red Bull Racing,74.784,19.633,35.266,19.885,MEDIUM,5,True,False,1
ANT,Mercedes,74.785,19.69,35.145,19.95,MEDIUM,7,True,False,1
VER,Red Bull Racing,74.938,19.813,35.371,19.754,MEDIUM,4,True,False,1
RUS,Mercedes,75.008,19.624,35.473,19.911,MEDIUM,8,True,False,1
LEC,Ferrari,75.06,19.748,35.433,19.879,HARD,9,True,False,1
NOR,McLaren,75.291,19.804,35.327,20.16,MEDIUM,9,True,False,1
HUL,Audi,75.343,19.833,35.425,20.085,MEDIUM,5,True,False,1
ANT,Mercedes,75.478,19.659,35.92,19.899,MEDIUM,2,True,False,1
HUL,Audi,75.487,19.816,35.602,20.069,MEDIUM,9,True,False,1
HAM,Ferrari,75.617,19.851,35.418,20.348,HARD,6,True,False,1
RUS,Mercedes,75.619,19.709,35.848,20.062,MEDIUM,6,True,False,1
BOR,Audi,75.75,19.735,35.927,20.088,MEDIUM,9,True,False,12
ANT,Mercedes,75.764,19.795,35.691,20.278,HARD,9,True,False,1
GAS,Alpine,75.828,19.955,35.738,20.135,MEDIUM,7,True,False,12
BOR,Audi,75.848,19.968,35.785,20.095,MEDIUM,7,True,False,12
HUL,Audi,75.851,20.072,35.811,19.968,MEDIUM,3,True,False,1
PIA,McLaren,75.892,20.276,35.542,20.074,MEDIUM,3,True,False,1
HAM,Ferrari,75.892,20.045,35.623,20.224,HARD,4,True,False,1
VER,Red Bull Racing,75.91,19.96,35.72,20.23,HARD,8,True,False,1
VER,Red Bull Racing,75.977,19.958,35.745,20.274,HARD,6,True,False,1
ALB,Williams,75.989,20.096,35.869,20.024,MEDIUM,3,True,False,1
NOR,McLaren,76.016,20.052,35.722,20.242,HARD,10,True,False,1
SAI,Williams,76.041,19.91,35.795,20.336,MEDIUM,6,True,False,1
ALB,Williams,76.049,20.117,35.742,20.19,MEDIUM,5,True,False,1
PER,Cadillac,76.17,20.199,35.718,20.253,SOFT,6,True,False,1
COL,Alpine,76.189,20.001,35.901,20.287,MEDIUM,5,True,False,1
VER,Red Bull Racing,76.198,20.331,35.762,20.105,HARD,10,True,False,1
PIA,McLaren,76.224,20.465,35.533,20.226,MEDIUM,8,True,False,1
BOR,Audi,76.261,20.074,35.827,20.36,MEDIUM,3,True,False,1
HUL,Audi,76.269,20.259,35.819,20.191,HARD,9,True,False,1
GAS,Alpine,76.278,20.378,35.762,20.138,MEDIUM,5,True,False,1
GAS,Alpine,76.292,20.049,35.919,20.324,MEDIUM,3,True,False,1
BEA,Haas F1 Team,76.292,20.114,35.878,20.3,MEDIUM,5,True,False,1
BEA,Haas F1 Team,76.301,20.166,35.814,20.321,MEDIUM,3,True,False,1
OCO,Haas F1 Team,76.333,20.075,35.821,20.437,MEDIUM,7,True,False,1
COL,Alpine,76.341,20.099,36.013,20.229,MEDIUM,2,True,False,1
VER,Red Bull Racing,76.387,19.535,35.252,21.6,MEDIUM,9,True,False,1
LIN,Racing Bulls,76.389,20.197,36.101,20.091,MEDIUM,10,True,False,1
LAW,Racing Bulls,76.431,20.26,35.981,20.19,MEDIUM,5,True,False,1
OCO,Haas F1 Team,76.435,20.112,35.974,20.349,MEDIUM,4,True,False,1
VER,Red Bull Racing,76.473,20.139,36.035,20.299,HARD,5,True,False,1
NOR,McLaren,76.487,20.022,35.828,20.637,HARD,8,True,False,1
COL,Alpine,76.507,19.974,36.144,20.389,MEDIUM,7,True,False,1
HUL,Audi,76.513,20.226,36.028,20.259,HARD,8,True,False,1
HAD,Red Bull Racing,76.538,19.977,36.174,20.387,HARD,10,True,False,1
HAD,Red Bull Racing,76.568,20.025,36.191,20.352,HARD,6,True,False,1
PER,Cadillac,76.621,20.369,35.797,20.455,SOFT,4,True,False,1
PIA,McLaren,76.664,20.159,35.986,20.519,HARD,10,True,False,1
