Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
HAM,Ferrari,88.376,28.113,35.706,24.557,SOFT,2,True,False,1
ANT,Mercedes,88.387,28.094,35.75,24.543,SOFT,2,True,False,1
VER,Red Bull Racing,88.697,28.184,35.912,24.601,SOFT,2,True,False,1
LEC,Ferrari,88.703,28.159,35.841,24.703,SOFT,2,True,False,1
RUS,Mercedes,88.733,28.301,35.854,24.578,SOFT,2,True,False,1
NOR,McLaren,88.74,28.291,35.937,24.512,SOFT,2,True,False,1
HAM,Ferrari,88.747,28.304,35.754,24.689,MEDIUM,2,True,False,1
PIA,McLaren,88.772,28.186,35.956,24.63,SOFT,2,True,False,1
HAD,Red Bull Racing,88.835,28.206,35.922,24.707,SOFT,2,True,False,1
ANT,Mercedes,88.846,28.157,35.623,25.066,MEDIUM,2,True,False,1
LEC,Ferrari,88.922,28.258,35.925,24.739,MEDIUM,2,True,False,1
LAW,Racing Bulls,88.927,28.25,36.03,24.647,SOFT,2,True,False,1
LEC,Ferrari,88.967,28.415,35.803,24.749,MEDIUM,5,True,False,1
LAW,Racing Bulls,89.067,28.399,36.089,24.579,MEDIUM,2,True,False,1
PIA,McLaren,89.12,28.186,36.055,24.879,MEDIUM,2,True,False,1
VER,Red Bull Racing,89.242,28.309,36.157,24.776,MEDIUM,2,True,False,1
RUS,Mercedes,89.246,28.493,36.002,24.751,MEDIUM,5,True,False,1
HAM,Ferrari,89.273,28.501,36.067,24.705,MEDIUM,4,True,False,1
HAD,Red Bull Racing,89.28,28.424,35.872,24.984,MEDIUM,2,True,False,1
LIN,Racing Bulls,89.33,28.374,36.115,24.841,MEDIUM,2,True,False,1
LIN,Racing Bulls,89.367,28.321,36.3,24.746,SOFT,2,True,False,1
LEC,Ferrari,89.38,28.518,36.067,24.795,MEDIUM,4,True,False,1
HAD,Red Bull Racing,89.383,28.497,35.999,24.887,MEDIUM,5,True,False,1
ANT,Mercedes,89.391,28.529,36.137,24.725,MEDIUM,5,True,False,1
NOR,McLaren,89.401,28.235,36.108,25.058,MEDIUM,2,True,False,1
HAD,Red Bull Racing,89.47,28.45,36.138,24.882,MEDIUM,2,True,False,1
RUS,Mercedes,89.474,28.549,36.034,24.891,MEDIUM,2,True,False,1
GAS,Alpine,89.482,28.284,36.191,25.007,MEDIUM,2,True,False,1
HAM,Ferrari,89.582,28.539,36.252,24.791,MEDIUM,2,True,False,1
PIA,McLaren,89.583,28.327,36.222,25.034,MEDIUM,2,True,False,1
NOR,McLaren,89.649,28.522,36.229,24.898,MEDIUM,5,True,False,1
PIA,McLaren,89.651,28.468,36.196,24.987,MEDIUM,5,True,False,1
RUS,Mercedes,89.675,28.577,36.251,24.847,MEDIUM,5,True,False,1
BOR,Audi,89.679,28.556,36.168,24.955,MEDIUM,2,True,False,1
VER,Red Bull Racing,89.689,28.552,36.018,25.119,MEDIUM,5,True,False,1
HUL,Audi,89.707,28.748,36.132,24.827,MEDIUM,5,True,False,1
HUL,Audi,89.729,28.805,36.201,24.723,MEDIUM,2,True,False,1
ANT,Mercedes,89.746,28.517,36.212,25.017,MEDIUM,5,True,False,1
LEC,Ferrari,89.793,28.668,36.235,24.89,MEDIUM,2,True,False,1
ANT,Mercedes,89.818,28.442,36.433,24.943,MEDIUM,2,True,False,1
LAW,Racing Bulls,89.85,28.656,36.354,24.84,MEDIUM,5,True,False,1
VER,Red Bull Racing,89.954,28.488,36.399,25.067,MEDIUM,2,True,False,1
COL,Alpine,89.983,28.387,36.501,25.095,MEDIUM,2,True,False,1
LAW,Racing Bulls,89.99,28.541,36.5,24.949,MEDIUM,2,True,False,1
HUL,Audi,90.107,28.798,36.352,24.957,MEDIUM,5,True,False,1
NOR,McLaren,90.142,28.386,36.545,25.211,MEDIUM,2,True,False,1
RUS,Mercedes,90.152,28.734,36.43,24.988,MEDIUM,2,True,False,1
SAI,Williams,90.197,28.554,36.52,25.123,MEDIUM,2,True,False,1
BOR,Audi,90.199,28.686,36.357,25.156,MEDIUM,5,True,False,1
NOR,McLaren,90.234,28.561,36.379,25.294,MEDIUM,5,True,False,1
BOR,Audi,90.407,28.72,36.511,25.176,MEDIUM,5,True,False,1
GAS,Alpine,90.444,28.506,36.711,25.227,MEDIUM,2,True,False,1
LIN,Racing Bulls,90.453,28.741,36.563,25.149,MEDIUM,5,True,False,1
LIN,Racing Bulls,90.526,28.677,36.63,25.219,MEDIUM,2,True,False,1
BOR,Audi,90.56,28.741,36.547,25.272,MEDIUM,2,True,False,1
ALB,Williams,90.65,28.56,36.626,25.464,MEDIUM,2,True,False,1
HUL,Audi,90.704,28.932,36.639,25.133,MEDIUM,2,True,False,1
ALB,Williams,90.779,28.69,36.853,25.236,MEDIUM,6,True,False,1
ALB,Williams,90.806,28.667,36.849,25.29,MEDIUM,5,True,False,1
COL,Alpine,90.894,28.722,36.726,25.446,MEDIUM,5,True,False,1
COL,Alpine,91.017,28.612,36.77,25.635,MEDIUM,2,True,False,1
SAI,Williams,91.073,28.857,36.804,25.412,MEDIUM,6,True,False,1
BEA,Haas F1 Team,91.083,29.106,36.62,25.357,MEDIUM,5,True,False,1
SAI,Williams,91.112,28.877,36.826,25.409,MEDIUM,3,True,False,1
ALB,Williams,91.307,28.773,37.068,25.466,MEDIUM,3,True,False,1
