Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,RUS,Mercedes,1:07.096,67.096,SOFT,6.0,1,16.758,30.114,20.224
2,ANT,Mercedes,1:07.134,67.134,SOFT,5.0,1,16.682,30.054,20.398
3,HAM,Ferrari,1:07.211,67.211,SOFT,2.0,1,16.577,30.138,20.496
4,PIA,McLaren,1:07.344,67.344,SOFT,5.0,1,16.794,30.03,20.52
5,NOR,McLaren,1:07.360,67.36,SOFT,2.0,1,16.772,30.004,20.584
6,VER,Red Bull Racing,1:07.369,67.369,SOFT,2.0,1,16.697,30.188,20.484
7,LEC,Ferrari,1:07.452,67.452,SOFT,9.0,1,16.754,30.151,20.547
8,HAD,Red Bull Racing,1:07.912,67.912,SOFT,9.0,1,16.894,30.371,20.647
9,LAW,Racing Bulls,1:08.031,68.031,SOFT,2.0,1,16.876,30.461,20.694
10,LIN,Racing Bulls,1:08.109,68.109,SOFT,2.0,1,16.848,30.657,20.604
11,GAS,Alpine,1:08.193,68.193,SOFT,2.0,1,16.795,30.525,20.873
12,HUL,Audi,1:08.303,68.303,SOFT,5.0,1,17.008,30.491,20.804
13,BOR,Audi,1:08.311,68.311,SOFT,2.0,1,16.934,30.574,20.803
14,COL,Alpine,1:08.394,68.394,SOFT,5.0,1,16.972,30.483,20.939
15,BEA,Haas F1 Team,1:08.529,68.529,SOFT,2.0,1,16.886,30.651,20.992
16,OCO,Haas F1 Team,1:08.707,68.707,SOFT,2.0,1,17.121,30.766,20.82
17,SAI,Williams,1:08.843,68.843,SOFT,2.0,1,17.031,30.715,21.097
18,ALB,Williams,1:08.992,68.992,SOFT,2.0,1,16.976,30.835,21.181
19,PER,Cadillac,1:09.532,69.532,SOFT,2.0,1,17.032,30.933,21.567
20,BOT,Cadillac,1:09.740,69.74,SOFT,2.0,1,17.12,31.031,21.589
21,ALO,Aston Martin,1:10.421,70.421,SOFT,2.0,1,17.463,31.413,21.545
22,STR,Aston Martin,1:10.567,70.567,SOFT,5.0,1,17.498,31.336,21.733
