Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
RUS,Mercedes,105.387,37.336,43.319,24.732,SOFT,6,True,False,1
VER,Red Bull Racing,105.787,37.602,42.988,25.197,SOFT,4,True,False,12
LEC,Ferrari,105.791,37.151,43.429,25.211,MEDIUM,8,True,False,1
HAM,Ferrari,105.824,37.279,43.358,25.187,MEDIUM,8,True,False,1
HAM,Ferrari,106.217,37.473,43.593,25.151,MEDIUM,6,True,False,1
RUS,Mercedes,106.261,37.685,43.605,24.971,SOFT,4,True,False,12
ANT,Mercedes,106.265,37.683,43.559,25.023,HARD,7,True,False,1
HAM,Ferrari,106.365,37.432,43.708,25.225,HARD,10,True,False,1
PIA,McLaren,106.398,37.756,43.311,25.331,SOFT,7,True,False,1
HAM,Ferrari,106.426,37.449,43.703,25.274,MEDIUM,4,True,False,1
LAW,Racing Bulls,106.44,37.704,43.58,25.156,MEDIUM,4,True,False,1
VER,Red Bull Racing,106.512,37.565,43.446,25.501,HARD,6,True,False,1
LEC,Ferrari,106.528,37.483,43.725,25.32,MEDIUM,6,True,False,1
LIN,Racing Bulls,106.601,37.814,43.733,25.054,MEDIUM,7,True,False,1
RUS,Mercedes,106.601,37.497,43.841,25.263,HARD,7,True,False,1
LEC,Ferrari,106.621,37.69,43.713,25.218,HARD,8,True,False,1
OCO,Haas F1 Team,106.624,37.695,43.675,25.254,SOFT,4,True,False,1
VER,Red Bull Racing,106.635,37.807,43.783,25.045,HARD,4,True,False,1
BOR,Audi,106.688,38.03,43.353,25.305,SOFT,6,True,False,1
HAM,Ferrari,106.696,37.529,44.014,25.153,MEDIUM,2,True,False,12
LAW,Racing Bulls,106.707,37.846,43.725,25.136,MEDIUM,2,True,False,1
LIN,Racing Bulls,106.771,37.699,43.819,25.253,MEDIUM,2,True,False,1
HUL,Audi,106.871,38.043,43.624,25.204,SOFT,4,True,False,12
HAM,Ferrari,106.879,37.726,43.815,25.338,HARD,8,True,False,1
