Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,RUS,Mercedes,1:43.347,103.347,SOFT,7.0,1,36.616,42.235,24.496
2,ANT,Mercedes,1:43.899,103.899,SOFT,7.0,1,36.556,42.724,24.619
3,VER,Red Bull Racing,1:44.174,104.174,SOFT,4.0,1,36.723,42.675,24.776
4,LEC,Ferrari,1:44.473,104.473,SOFT,3.0,1,36.844,42.857,24.772
5,HAM,Ferrari,1:44.665,104.665,SOFT,3.0,1,36.845,42.832,24.988
6,NOR,McLaren,1:44.831,104.831,SOFT,2.0,12,36.89,42.713,25.228
7,GAS,Alpine,1:44.843,104.843,SOFT,6.0,12,37.144,42.722,24.977
8,PIA,McLaren,1:44.857,104.857,SOFT,3.0,1,36.73,42.588,25.539
9,HAD,Red Bull Racing,1:44.868,104.868,SOFT,3.0,1,36.99,43.096,24.782
10,OCO,Haas F1 Team,1:45.290,105.29,SOFT,4.0,1,37.086,43.045,25.159
11,COL,Alpine,1:45.479,105.479,SOFT,6.0,12,37.516,42.867,25.096
12,LAW,Racing Bulls,1:45.681,105.681,SOFT,4.0,1,37.343,43.414,24.924
13,PER,Cadillac,1:45.760,105.76,SOFT,5.0,1,37.376,43.441,24.943
14,BOR,Audi,1:45.794,105.794,SOFT,2.0,12,37.391,43.017,25.386
15,HUL,Audi,1:45.854,105.854,SOFT,4.0,1,37.671,43.01,25.173
16,ALB,Williams,1:46.123,106.123,SOFT,2.0,1,37.867,43.233,25.023
17,SAI,Williams,1:46.221,106.221,SOFT,3.0,21,37.626,43.279,25.316
18,LIN,Racing Bulls,1:46.391,106.391,MEDIUM,2.0,1,37.952,43.601,24.838
19,BOT,Cadillac,1:46.737,106.737,SOFT,5.0,1,37.801,43.626,25.31
20,BEA,Haas F1 Team,1:46.801,106.801,UNKNOWN,8.0,12,37.764,43.61,25.427
21,STR,Aston Martin,1:47.403,107.403,SOFT,5.0,1,37.765,43.9,25.738
22,ALO,Aston Martin,1:47.889,107.889,SOFT,5.0,1,37.767,44.086,26.036
