Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
RUS,Mercedes,75.679,22.301,30.376,23.002,SOFT,2,True,False,1
PIA,McLaren,75.893,22.264,30.721,22.908,SOFT,2,True,False,1
LEC,Ferrari,75.922,22.239,30.635,23.048,SOFT,2,True,False,1
NOR,McLaren,75.925,22.214,30.7,23.011,SOFT,2,True,False,1
RUS,Mercedes,76.258,22.226,30.785,23.247,SOFT,2,True,False,1
HAM,Ferrari,76.381,22.474,30.806,23.101,SOFT,2,True,False,1
VER,Red Bull Racing,76.434,22.41,30.654,23.37,SOFT,2,True,False,1
ANT,Mercedes,76.5,22.473,30.711,23.316,SOFT,2,True,False,1
ANT,Mercedes,76.524,22.463,30.797,23.264,SOFT,5,True,False,1
NOR,McLaren,76.609,22.387,31.045,23.177,SOFT,2,True,False,1
HAD,Red Bull Racing,76.684,22.441,30.82,23.423,SOFT,6,True,False,1
LEC,Ferrari,76.685,22.592,30.884,23.209,SOFT,2,True,False,1
NOR,McLaren,76.759,22.576,30.966,23.217,SOFT,5,True,False,1
LEC,Ferrari,76.76,22.566,30.863,23.331,SOFT,5,True,False,1
LEC,Ferrari,76.807,22.451,31.031,23.325,SOFT,5,True,False,1
VER,Red Bull Racing,76.855,22.367,30.933,23.555,SOFT,2,True,False,1
PIA,McLaren,76.958,22.655,31.06,23.243,SOFT,5,True,False,1
HUL,Audi,76.961,22.55,31.253,23.158,SOFT,2,True,False,1
HAM,Ferrari,76.964,22.784,30.947,23.233,SOFT,5,True,False,1
LEC,Ferrari,76.972,22.559,31.102,23.311,SOFT,8,True,False,1
HUL,Audi,77.016,22.456,31.262,23.298,SOFT,5,True,False,1
LIN,Racing Bulls,77.02,22.579,31.05,23.391,SOFT,2,True,False,1
BOR,Audi,77.027,22.431,31.156,23.44,SOFT,2,True,False,1
HAM,Ferrari,77.131,22.717,31.111,23.303,SOFT,3,True,False,1
VER,Red Bull Racing,77.229,22.583,31.217,23.429,SOFT,5,True,False,1
PIA,McLaren,77.281,22.573,31.361,23.347,SOFT,2,True,False,1
LAW,Racing Bulls,77.324,22.559,31.166,23.599,SOFT,2,True,False,1
HAM,Ferrari,77.393,22.809,31.069,23.515,SOFT,6,True,False,1
LIN,Racing Bulls,77.435,22.682,31.289,23.464,SOFT,2,True,False,1
HAD,Red Bull Racing,77.482,22.676,31.075,23.731,SOFT,2,True,False,1
LIN,Racing Bulls,77.55,22.713,31.344,23.493,SOFT,7,True,False,1
BOR,Audi,77.581,22.66,31.318,23.603,SOFT,2,True,False,1
GAS,Alpine,77.583,22.694,31.334,23.555,SOFT,4,True,False,1
LAW,Racing Bulls,77.598,22.8,31.196,23.602,SOFT,3,True,False,1
COL,Alpine,77.625,22.624,31.467,23.534,SOFT,2,True,False,1
LIN,Racing Bulls,77.64,22.915,31.217,23.508,SOFT,5,True,False,1
LAW,Racing Bulls,77.707,22.829,31.237,23.641,SOFT,6,True,False,1
SAI,Williams,77.73,22.883,31.396,23.451,SOFT,2,True,False,1
OCO,Haas F1 Team,78.04,22.907,31.491,23.642,SOFT,4,True,False,1
HAD,Red Bull Racing,78.138,22.926,31.39,23.822,SOFT,5,True,False,1
SAI,Williams,78.248,23.006,31.551,23.691,SOFT,6,True,False,1
HUL,Audi,78.255,22.938,31.756,23.561,MEDIUM,5,True,False,1
SAI,Williams,78.384,22.845,31.756,23.783,SOFT,3,True,False,1
BEA,Haas F1 Team,78.391,23.022,31.591,23.778,SOFT,3,True,False,1
BEA,Haas F1 Team,78.397,22.787,31.623,23.987,SOFT,2,True,False,1
ALB,Williams,78.412,23.045,31.705,23.662,SOFT,4,True,False,1
HUL,Audi,78.477,22.974,31.737,23.766,MEDIUM,2,True,False,1
HUL,Audi,78.541,23.003,31.845,23.693,MEDIUM,8,True,False,1
COL,Alpine,78.586,22.894,31.815,23.877,SOFT,2,True,False,1
OCO,Haas F1 Team,78.645,22.838,31.823,23.984,SOFT,2,True,False,1
GAS,Alpine,78.653,22.961,31.691,24.001,SOFT,7,True,False,1
BEA,Haas F1 Team,78.686,22.933,31.85,23.903,SOFT,5,True,False,1
PER,Cadillac,78.691,23.245,31.465,23.981,SOFT,2,True,False,1
BOR,Audi,78.971,22.879,31.799,24.293,SOFT,5,True,False,12
COL,Alpine,78.998,22.97,32.034,23.994,SOFT,6,True,False,1
ALB,Williams,79.147,23.229,31.91,24.008,SOFT,2,True,False,1
OCO,Haas F1 Team,79.157,23.045,32.01,24.102,SOFT,5,True,False,1
ALB,Williams,79.166,23.285,31.994,23.887,SOFT,7,True,False,1
NOR,McLaren,79.348,23.286,32.072,23.99,SOFT,7,True,False,1
ALO,Aston Martin,79.496,23.152,32.353,23.991,SOFT,2,True,False,1
HAM,Ferrari,79.612,23.41,32.06,24.142,SOFT,7,True,False,1
NOR,McLaren,79.76,23.145,32.139,24.476,SOFT,8,True,False,1
ALO,Aston Martin,79.945,23.371,32.346,24.228,SOFT,5,True,False,1
BOT,Cadillac,79.962,23.373,32.226,24.363,SOFT,5,True,False,1
BOT,Cadillac,79.998,23.441,32.128,24.429,SOFT,2,True,False,1
