Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
NOR,McLaren,75.426,22.045,30.475,22.906,SOFT,2,True,False,1
RUS,Mercedes,75.435,21.917,30.574,22.944,SOFT,2,True,False,1
PIA,McLaren,75.483,22.055,30.532,22.896,SOFT,2,True,False,1
PIA,McLaren,75.724,22.198,30.677,22.849,MEDIUM,2,True,False,1
LEC,Ferrari,75.799,22.247,30.459,23.093,SOFT,2,True,False,1
RUS,Mercedes,75.939,22.185,30.792,22.962,MEDIUM,6,True,False,1
RUS,Mercedes,75.945,22.141,30.791,23.013,MEDIUM,3,True,False,1
ANT,Mercedes,76.015,22.086,30.806,23.123,SOFT,2,True,False,1
VER,Red Bull Racing,76.321,22.256,30.79,23.275,SOFT,2,True,False,1
LIN,Racing Bulls,76.411,22.2,30.866,23.345,SOFT,2,True,False,1
VER,Red Bull Racing,76.452,22.155,30.96,23.337,HARD,2,True,False,1
NOR,McLaren,76.574,22.24,31.131,23.203,MEDIUM,5,True,False,1
BOR,Audi,76.611,22.399,31.028,23.184,SOFT,2,True,False,1
LEC,Ferrari,76.626,22.516,30.746,23.364,MEDIUM,2,True,False,1
HAM,Ferrari,76.631,22.293,31.049,23.289,SOFT,2,True,False,1
HAD,Red Bull Racing,76.674,22.36,30.886,23.428,SOFT,2,True,False,1
PIA,McLaren,76.803,22.478,31.07,23.255,MEDIUM,5,True,False,1
NOR,McLaren,76.867,22.302,31.269,23.296,MEDIUM,2,True,False,1
HAM,Ferrari,76.916,22.67,30.94,23.306,SOFT,6,True,False,1
HUL,Audi,76.934,22.418,31.111,23.405,SOFT,2,True,False,1
BEA,Haas F1 Team,76.945,22.335,31.127,23.483,SOFT,2,True,False,1
ANT,Mercedes,76.946,22.485,31.239,23.222,MEDIUM,9,True,False,1
LAW,Racing Bulls,76.967,22.537,30.935,23.495,MEDIUM,2,True,False,1
LEC,Ferrari,76.995,22.56,30.887,23.548,MEDIUM,5,True,False,1
SAI,Williams,77.02,22.332,31.252,23.436,SOFT,2,True,False,1
ANT,Mercedes,77.022,22.535,31.171,23.316,MEDIUM,2,True,False,1
COL,Alpine,77.051,22.306,31.191,23.554,SOFT,2,True,False,1
LIN,Racing Bulls,77.058,22.313,31.322,23.423,MEDIUM,2,True,False,1
LEC,Ferrari,77.16,22.682,31.024,23.454,MEDIUM,8,True,False,12
HUL,Audi,77.219,22.521,31.309,23.389,SOFT,5,True,False,1
GAS,Alpine,77.26,22.631,31.143,23.486,SOFT,4,True,False,1
HAM,Ferrari,77.43,22.743,31.287,23.4,MEDIUM,5,True,False,1
LIN,Racing Bulls,77.466,22.478,31.341,23.647,MEDIUM,6,True,False,1
OCO,Haas F1 Team,77.538,22.402,31.157,23.979,SOFT,2,True,False,1
HAM,Ferrari,77.542,23.125,30.906,23.511,MEDIUM,10,True,False,1
BOR,Audi,77.694,22.649,31.601,23.444,MEDIUM,5,True,False,1
HAD,Red Bull Racing,77.756,22.419,31.519,23.818,SOFT,5,True,False,1
COL,Alpine,77.766,22.851,31.434,23.481,MEDIUM,2,True,False,1
HUL,Audi,77.829,22.654,31.642,23.533,MEDIUM,8,True,False,1
COL,Alpine,77.873,22.612,31.61,23.651,MEDIUM,5,True,False,1
BOR,Audi,77.889,22.962,31.412,23.515,MEDIUM,2,True,False,1
VER,Red Bull Racing,77.907,22.564,31.654,23.689,HARD,5,True,False,1
BOR,Audi,77.912,22.742,31.649,23.521,MEDIUM,8,True,False,1
LAW,Racing Bulls,77.962,22.615,31.606,23.741,SOFT,2,True,False,1
SAI,Williams,77.971,22.686,31.604,23.681,MEDIUM,2,True,False,1
HAM,Ferrari,77.996,23.191,31.299,23.506,MEDIUM,2,True,False,1
GAS,Alpine,78.007,22.766,31.44,23.801,MEDIUM,5,True,False,1
COL,Alpine,78.016,22.741,31.6,23.675,SOFT,5,True,False,1
HUL,Audi,78.092,22.75,31.611,23.731,MEDIUM,5,True,False,1
NOR,McLaren,78.142,22.431,30.961,24.75,MEDIUM,11,True,False,1
BOT,Cadillac,78.225,23.077,31.461,23.687,SOFT,2,True,False,1
OCO,Haas F1 Team,78.245,22.858,31.573,23.814,MEDIUM,2,True,False,1
GAS,Alpine,78.278,22.779,31.624,23.875,MEDIUM,8,True,False,1
BEA,Haas F1 Team,78.384,22.802,31.656,23.926,MEDIUM,2,True,False,1
HAD,Red Bull Racing,78.407,22.735,31.781,23.891,MEDIUM,5,True,False,1
GAS,Alpine,78.414,23.203,31.696,23.515,MEDIUM,2,True,False,1
BEA,Haas F1 Team,78.46,22.992,31.629,23.839,MEDIUM,9,True,False,1
