Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,ANT,Mercedes,1:45.990,105.99,SOFT,2.0,1,30.527,46.97,28.493
2,NOR,McLaren,1:46.129,106.129,SOFT,2.0,1,30.787,46.646,28.696
3,VER,Red Bull Racing,1:46.138,106.138,SOFT,2.0,1,30.804,47.04,28.294
4,RUS,Mercedes,1:46.357,106.357,SOFT,2.0,1,30.564,47.005,28.788
5,HAM,Ferrari,1:46.382,106.382,SOFT,2.0,1,30.624,47.004,28.754
6,LEC,Ferrari,1:46.750,106.75,SOFT,4.0,1,30.997,47.03,28.723
7,PIA,McLaren,1:46.785,106.785,SOFT,2.0,1,31.035,47.049,28.701
8,HUL,Audi,1:46.924,106.924,SOFT,2.0,1,31.047,47.346,28.531
9,BOR,Audi,1:47.049,107.049,SOFT,2.0,1,30.969,47.421,28.659
10,HAD,Red Bull Racing,1:47.096,107.096,MEDIUM,8.0,1,31.074,47.401,28.621
11,LIN,Racing Bulls,1:47.176,107.176,SOFT,3.0,1,30.708,47.865,28.603
12,LAW,Racing Bulls,1:47.690,107.69,SOFT,5.0,1,31.157,47.707,28.826
13,COL,Alpine,1:47.904,107.904,SOFT,4.0,12,30.779,48.277,28.848
14,BEA,Haas F1 Team,1:47.920,107.92,SOFT,2.0,1,30.999,48.24,28.681
15,GAS,Alpine,1:47.949,107.949,SOFT,4.0,12,30.988,48.241,28.72
16,ALB,Williams,1:47.990,107.99,SOFT,2.0,1,31.073,48.317,28.6
17,BOT,Cadillac,1:48.644,108.644,SOFT,2.0,1,31.039,48.594,29.011
18,SAI,Williams,1:48.692,108.692,SOFT,4.0,1,31.06,48.705,28.927
19,OCO,Haas F1 Team,1:48.730,108.73,SOFT,2.0,1,31.34,48.623,28.767
20,PER,Cadillac,1:48.990,108.99,SOFT,2.0,1,31.317,48.499,29.174
21,ALO,Aston Martin,1:50.155,110.155,SOFT,2.0,1,31.169,49.619,29.367
22,STR,Aston Martin,1:50.631,110.631,SOFT,2.0,1,31.4,49.724,29.507
