Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
ANT,Mercedes,105.99,30.527,46.97,28.493,SOFT,2,True,False,1
NOR,McLaren,106.129,30.787,46.646,28.696,SOFT,2,True,False,1
VER,Red Bull Racing,106.138,30.804,47.04,28.294,SOFT,2,True,False,1
RUS,Mercedes,106.357,30.564,47.005,28.788,SOFT,2,True,False,1
HAM,Ferrari,106.382,30.624,47.004,28.754,SOFT,2,True,False,1
LEC,Ferrari,106.75,30.997,47.03,28.723,SOFT,4,True,False,1
PIA,McLaren,106.785,31.035,47.049,28.701,SOFT,2,True,False,1
HAM,Ferrari,106.789,30.827,47.059,28.903,SOFT,4,True,False,1
VER,Red Bull Racing,106.837,31.121,47.009,28.707,SOFT,4,True,False,1
HUL,Audi,106.924,31.047,47.346,28.531,SOFT,2,True,False,1
PIA,McLaren,107.019,30.929,47.381,28.709,SOFT,4,True,False,1
RUS,Mercedes,107.041,30.812,47.591,28.638,SOFT,5,True,False,1
BOR,Audi,107.049,30.969,47.421,28.659,SOFT,2,True,False,1
ANT,Mercedes,107.088,31.171,47.061,28.856,SOFT,5,True,False,1
HAD,Red Bull Racing,107.096,31.074,47.401,28.621,MEDIUM,8,True,False,1
LEC,Ferrari,107.122,31.01,47.282,28.83,SOFT,6,True,False,1
VER,Red Bull Racing,107.167,31.048,47.301,28.818,SOFT,2,True,False,1
LIN,Racing Bulls,107.176,30.708,47.865,28.603,SOFT,3,True,False,1
LEC,Ferrari,107.238,31.116,47.375,28.747,SOFT,9,True,False,1
RUS,Mercedes,107.286,31.154,47.496,28.636,SOFT,2,True,False,1
LIN,Racing Bulls,107.342,30.962,47.747,28.633,SOFT,5,True,False,1
HAM,Ferrari,107.436,31.23,47.375,28.831,SOFT,2,True,False,1
PIA,McLaren,107.461,31.138,47.293,29.03,SOFT,4,True,False,1
LEC,Ferrari,107.469,31.298,47.176,28.995,SOFT,4,True,False,1
HAD,Red Bull Racing,107.507,31.4,47.439,28.668,MEDIUM,5,True,False,1
LIN,Racing Bulls,107.592,30.925,48.04,28.627,SOFT,5,True,False,1
LAW,Racing Bulls,107.69,31.157,47.707,28.826,SOFT,5,True,False,1
LAW,Racing Bulls,107.786,31.107,47.812,28.867,SOFT,2,True,False,1
NOR,McLaren,107.796,31.329,47.479,28.988,MEDIUM,2,True,False,1
HUL,Audi,107.823,31.235,47.734,28.854,SOFT,5,True,False,1
LAW,Racing Bulls,107.833,30.982,48.026,28.825,SOFT,5,True,False,1
LEC,Ferrari,107.89,31.358,47.617,28.915,SOFT,2,True,False,1
COL,Alpine,107.904,30.779,48.277,28.848,SOFT,4,True,False,12
COL,Alpine,107.914,30.808,48.452,28.654,SOFT,2,True,False,1
BEA,Haas F1 Team,107.92,30.999,48.24,28.681,SOFT,2,True,False,1
GAS,Alpine,107.949,30.988,48.241,28.72,SOFT,4,True,False,12
ALB,Williams,107.99,31.073,48.317,28.6,SOFT,2,True,False,1
NOR,McLaren,108.04,31.386,47.568,29.086,MEDIUM,6,True,False,1
GAS,Alpine,108.048,30.867,48.417,28.764,SOFT,2,True,False,1
GAS,Alpine,108.085,31.093,48.212,28.78,MEDIUM,6,True,False,1
PIA,McLaren,108.099,31.47,47.642,28.987,SOFT,2,True,False,1
ALB,Williams,108.17,31.174,48.208,28.788,SOFT,4,True,False,1
LIN,Racing Bulls,108.21,31.31,48.13,28.77,SOFT,2,True,False,1
NOR,McLaren,108.214,31.457,47.662,29.095,MEDIUM,4,True,False,1
HAD,Red Bull Racing,108.231,31.212,47.908,29.111,MEDIUM,2,True,False,1
ALB,Williams,108.254,31.152,48.279,28.823,SOFT,2,True,False,1
BEA,Haas F1 Team,108.291,31.013,48.396,28.882,SOFT,5,True,False,1
BOR,Audi,108.464,31.901,47.643,28.92,SOFT,5,True,False,1
BOR,Audi,108.492,31.707,48.033,28.752,SOFT,2,True,False,1
BEA,Haas F1 Team,108.574,31.313,48.329,28.932,SOFT,5,True,False,1
BOT,Cadillac,108.644,31.039,48.594,29.011,SOFT,2,True,False,1
SAI,Williams,108.692,31.06,48.705,28.927,SOFT,4,True,False,1
HUL,Audi,108.708,31.94,47.965,28.803,SOFT,2,True,False,1
OCO,Haas F1 Team,108.73,31.34,48.623,28.767,SOFT,2,True,False,1
HUL,Audi,108.804,32.137,47.845,28.822,SOFT,4,True,False,1
BOT,Cadillac,108.829,30.948,48.759,29.122,SOFT,4,True,False,1
BEA,Haas F1 Team,108.93,31.345,48.636,28.949,SOFT,2,True,False,1
OCO,Haas F1 Team,108.988,31.326,48.665,28.997,SOFT,5,True,False,1
PER,Cadillac,108.99,31.317,48.499,29.174,SOFT,2,True,False,1
PIA,McLaren,109.002,31.423,48.565,29.014,SOFT,7,True,False,1
PER,Cadillac,109.006,31.117,48.642,29.247,SOFT,4,True,False,1
GAS,Alpine,109.035,31.285,48.71,29.04,MEDIUM,2,True,False,1
LAW,Racing Bulls,109.067,31.249,48.475,29.343,SOFT,8,True,False,1
SAI,Williams,109.123,31.232,48.922,28.969,SOFT,2,True,False,1
SAI,Williams,109.125,31.554,48.721,28.85,SOFT,4,True,False,1
