Position,Driver,Team,Points
1.0,ANT,Mercedes,25
2.0,LEC,Ferrari,18
3.0,VER,Red Bull,15
4.0,HAM,Ferrari,12
5.0,PIA,McLaren,10
6.0,HAD,Red Bull,8
7.0,NOR,McLaren,6
8.0,BOR,Audi,4
9.0,LIN,RB F1 Team,2
10.0,COL,Alpine F1 Team,1
11.0,GAS,Alpine F1 Team,0
12.0,LAW,RB F1 Team,0
13.0,HUL,Audi,0
14.0,BEA,Haas F1 Team,0
15.0,ALB,Williams,0
16.0,SAI,Williams,0
17.0,OCO,Haas F1 Team,0
18.0,BOT,Cadillac F1 Team,0
19.0,ALO,Aston Martin,0
20.0,STR,Aston Martin,0
21.0,PER,Cadillac F1 Team,0
22.0,RUS,Mercedes,0
