Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
LEC,Ferrari,79.075,27.846,28.625,22.604,SOFT,2,True,False,1
VER,Red Bull Racing,79.559,28.031,28.879,22.649,SOFT,2,True,False,1
HAM,Ferrari,79.618,27.931,28.907,22.78,SOFT,2,True,False,1
HAD,Red Bull Racing,79.997,27.866,29.016,23.115,SOFT,2,True,False,1
RUS,Mercedes,80.066,28.191,29.064,22.811,SOFT,2,True,False,1
LEC,Ferrari,80.287,28.233,29.137,22.917,MEDIUM,8,True,False,1
BOR,Audi,80.36,28.104,29.15,23.106,SOFT,2,True,False,12
VES,Mercedes,80.467,28.3,29.29,22.877,SOFT,2,True,False,1
HAM,Ferrari,80.613,28.19,29.302,23.121,MEDIUM,8,True,False,1
HUL,Audi,80.623,28.13,29.377,23.116,SOFT,5,True,False,12
LIN,Racing Bulls,80.76,28.485,29.119,23.156,SOFT,2,True,False,1
VER,Red Bull Racing,80.788,28.38,29.238,23.17,MEDIUM,4,True,False,1
HUL,Audi,80.789,28.165,29.344,23.28,SOFT,2,True,False,1
VER,Red Bull Racing,80.807,28.211,29.169,23.427,MEDIUM,7,True,False,1
RUS,Mercedes,80.843,28.453,29.38,23.01,MEDIUM,8,True,False,1
LAW,Racing Bulls,80.866,28.201,29.385,23.28,SOFT,2,True,False,1
LEC,Ferrari,80.884,28.554,29.452,22.878,MEDIUM,4,True,False,1
NOR,McLaren,81.024,28.234,28.988,23.802,SOFT,4,True,False,1
OCO,Haas F1 Team,81.051,28.408,29.482,23.161,SOFT,5,True,False,1
HAM,Ferrari,81.065,28.586,29.431,23.048,MEDIUM,6,True,False,1
RUS,Mercedes,81.191,28.326,29.623,23.242,MEDIUM,5,True,False,1
BOR,Audi,81.425,28.493,29.59,23.342,MEDIUM,13,True,False,1
LAW,Racing Bulls,81.457,28.483,29.591,23.383,MEDIUM,10,True,False,1
HUL,Audi,81.504,28.477,29.823,23.204,MEDIUM,6,True,False,1
ALO,Aston Martin,81.55,28.899,29.471,23.18,SOFT,2,True,False,1
HAD,Red Bull Racing,81.616,28.683,29.444,23.489,MEDIUM,8,True,False,1
LIN,Racing Bulls,81.619,28.634,29.557,23.428,MEDIUM,10,True,False,1
GAS,Alpine,81.704,28.558,29.88,23.266,SOFT,3,True,False,1
HUL,Audi,81.708,28.447,29.667,23.594,MEDIUM,9,True,False,1
NOR,McLaren,81.787,28.625,29.754,23.408,MEDIUM,6,True,False,1
ALB,Williams,81.819,28.505,29.742,23.572,SOFT,2,True,False,1
LIN,Racing Bulls,81.825,28.647,29.654,23.524,MEDIUM,7,True,False,1
OCO,Haas F1 Team,81.882,28.554,29.801,23.527,SOFT,8,True,False,1
FOR,McLaren,81.89,28.519,29.806,23.565,MEDIUM,6,True,False,1
ALO,Aston Martin,81.904,28.866,29.57,23.468,SOFT,7,True,False,1
FOR,McLaren,82.0,28.544,29.817,23.639,MEDIUM,9,True,False,1
HIR,Haas F1 Team,82.001,28.653,29.86,23.488,SOFT,7,True,False,1
LAW,Racing Bulls,82.009,28.563,29.975,23.471,MEDIUM,7,True,False,1
VES,Mercedes,82.014,28.844,30.054,23.116,MEDIUM,9,True,False,1
VES,Mercedes,82.037,28.511,30.407,23.119,SOFT,5,True,False,1
RUS,Mercedes,82.056,28.714,30.081,23.261,MEDIUM,2,True,False,1
FOR,McLaren,82.084,28.799,29.989,23.296,MEDIUM,4,True,False,1
PER,Cadillac,82.089,28.609,30.251,23.229,SOFT,2,True,False,1
VES,Mercedes,82.099,28.584,30.241,23.274,MEDIUM,11,True,False,1
ARO,Alpine,82.168,28.618,29.851,23.699,SOFT,5,True,False,12
BOR,Audi,82.18,28.699,29.954,23.527,MEDIUM,6,True,False,1
OCO,Haas F1 Team,82.248,28.588,29.867,23.793,MEDIUM,7,True,False,1
HUL,Audi,82.442,28.727,30.318,23.397,MEDIUM,4,True,False,1
LIN,Racing Bulls,82.448,28.924,30.113,23.411,MEDIUM,4,True,False,1
HAM,Ferrari,82.482,28.263,29.45,24.769,MEDIUM,4,True,False,1
OCO,Haas F1 Team,82.574,28.845,30.228,23.501,MEDIUM,5,True,False,1
GAS,Alpine,82.588,28.498,30.228,23.862,SOFT,6,True,False,1
GAS,Alpine,82.694,28.584,30.439,23.671,MEDIUM,5,True,False,1
LEC,Ferrari,82.705,29.163,30.244,23.298,MEDIUM,2,True,False,1
FOR,McLaren,82.709,28.811,30.12,23.778,MEDIUM,11,True,False,1
FOR,McLaren,82.721,28.682,30.388,23.651,MEDIUM,13,True,False,1
HAD,Red Bull Racing,82.783,28.956,30.107,23.72,MEDIUM,6,True,False,1
HIR,Haas F1 Team,82.808,28.919,30.345,23.544,SOFT,4,True,False,12
VES,Mercedes,82.831,29.079,30.308,23.444,MEDIUM,7,True,False,1
ALB,Williams,83.006,28.823,30.22,23.963,MEDIUM,9,True,False,1
HER,Cadillac,83.118,28.944,30.707,23.467,SOFT,2,True,False,1
GAS,Alpine,83.15,28.857,30.534,23.759,MEDIUM,13,True,False,1
ALO,Aston Martin,83.219,29.45,30.192,23.577,HARD,4,True,False,1
LAW,Racing Bulls,83.423,28.675,29.935,24.813,MEDIUM,4,True,False,1
STR,Aston Martin,83.471,29.636,30.353,23.482,HARD,4,True,False,1
GAS,Alpine,83.537,28.87,30.777,23.89,MEDIUM,8,True,False,1
HER,Cadillac,83.539,29.267,30.743,23.529,SOFT,7,True,False,1
ARO,Alpine,83.587,29.198,30.364,24.025,MEDIUM,8,True,False,1
HIR,Haas F1 Team,83.64,29.268,30.726,23.646,MEDIUM,10,True,False,1
PER,Cadillac,83.648,29.016,30.831,23.801,HARD,6,True,False,1
ALB,Williams,83.678,29.125,30.647,23.906,MEDIUM,6,True,False,1
PER,Cadillac,83.704,29.153,30.865,23.686,HARD,4,True,False,1
NOR,McLaren,83.707,29.198,30.468,24.041,SOFT,11,True,False,1
SAI,Williams,83.734,29.046,30.657,24.031,MEDIUM,7,True,False,1
SAI,Williams,83.767,29.209,30.651,23.907,MEDIUM,9,True,False,1
NOR,McLaren,83.835,28.992,30.782,24.061,SOFT,7,True,False,1
BOR,Audi,83.926,29.202,31.01,23.714,MEDIUM,4,True,False,1
ALB,Williams,83.956,28.964,30.943,24.049,SOFT,9,True,False,1
VES,Mercedes,83.985,29.166,31.022,23.797,MEDIUM,13,True,False,1
HAM,Ferrari,84.064,29.182,30.826,24.056,MEDIUM,12,True,False,1
NOR,McLaren,84.083,29.146,30.665,24.272,SOFT,9,True,False,1
BOR,Audi,84.088,29.309,30.887,23.892,SOFT,8,True,False,1
SAI,Williams,84.094,29.448,30.776,23.87,MEDIUM,5,True,False,1
HAM,Ferrari,84.129,29.412,30.651,24.066,MEDIUM,15,True,False,1
HAM,Ferrari,84.14,29.186,30.872,24.082,MEDIUM,14,True,False,1
HIR,Haas F1 Team,84.219,29.655,30.869,23.695,MEDIUM,7,True,False,1
ARO,Alpine,84.241,29.637,30.594,24.01,MEDIUM,2,True,False,1
GAS,Alpine,84.289,29.027,31.161,24.101,MEDIUM,10,True,False,1
BOR,Audi,84.32,29.383,30.864,24.073,SOFT,9,True,False,1
ARO,Alpine,84.329,28.815,29.642,25.872,SOFT,2,True,False,1
HUL,Audi,84.332,29.316,30.929,24.087,MEDIUM,12,True,False,1
BOR,Audi,84.344,29.394,30.708,24.242,SOFT,11,True,False,1
RUS,Mercedes,84.372,29.36,30.853,24.159,MEDIUM,13,True,False,1
NOR,McLaren,84.377,29.211,30.745,24.421,MEDIUM,11,True,False,12
ALB,Williams,84.386,29.104,30.921,24.361,SOFT,11,True,False,1
HIR,Haas F1 Team,84.388,29.417,31.188,23.783,MEDIUM,13,True,False,1
STR,Aston Martin,84.395,29.963,30.879,23.553,HARD,2,True,False,1
RUS,Mercedes,84.523,29.525,30.677,24.321,MEDIUM,14,True,False,1
ALO,Aston Martin,84.527,29.941,31.068,23.518,HARD,2,True,False,1
ALB,Williams,84.553,29.273,30.995,24.285,SOFT,13,True,False,1
ARO,Alpine,84.555,29.121,31.188,24.246,MEDIUM,6,True,False,1
BOR,Audi,84.556,29.402,30.902,24.252,SOFT,10,True,False,1
HAM,Ferrari,84.557,29.273,31.111,24.173,MEDIUM,13,True,False,1
ALB,Williams,84.568,29.2,31.08,24.288,SOFT,15,True,False,1
GAS,Alpine,84.577,29.105,31.275,24.197,SOFT,11,True,False,1
ALB,Williams,84.601,29.686,30.885,24.03,MEDIUM,4,True,False,1
HUL,Audi,84.617,29.29,31.119,24.208,MEDIUM,13,True,False,1
ALB,Williams,84.633,29.145,31.27,24.218,SOFT,10,True,False,1
OCO,Haas F1 Team,84.694,29.367,31.212,24.115,MEDIUM,13,True,False,1
BOR,Audi,84.702,29.363,30.842,24.497,SOFT,14,True,False,1
VER,Red Bull Racing,84.713,29.428,30.991,24.294,MEDIUM,11,True,False,1
FOR,McLaren,84.719,30.063,30.75,23.906,MEDIUM,2,True,False,1
HIR,Haas F1 Team,84.73,29.423,31.293,24.014,MEDIUM,5,True,False,1
VER,Red Bull Racing,84.731,29.466,31.23,24.035,MEDIUM,10,True,False,1
BOR,Audi,84.764,29.44,31.25,24.074,SOFT,6,True,False,12
BOR,Audi,84.803,29.472,30.849,24.482,SOFT,12,True,False,1
OCO,Haas F1 Team,84.821,30.149,31.006,23.666,MEDIUM,10,True,False,1
HER,Cadillac,84.843,29.246,31.537,24.06,HARD,9,True,False,1
SAI,Williams,84.887,29.642,31.015,24.23,MEDIUM,2,True,False,1
GAS,Alpine,84.918,29.273,31.357,24.288,SOFT,10,True,False,1
GAS,Alpine,84.921,29.042,31.529,24.35,SOFT,12,True,False,1
RUS,Mercedes,84.924,29.559,31.059,24.306,MEDIUM,11,True,False,1
PER,Cadillac,84.943,29.151,30.896,24.896,HARD,8,True,False,1
STR,Aston Martin,84.998,29.739,31.214,24.045,HARD,8,True,False,1
VER,Red Bull Racing,85.082,29.361,31.276,24.445,MEDIUM,12,True,False,12
BOR,Audi,85.125,29.455,31.175,24.495,SOFT,13,True,False,1
HUL,Audi,85.152,29.394,31.248,24.51,MEDIUM,14,True,False,12
HAD,Red Bull Racing,85.224,29.403,31.299,24.522,MEDIUM,12,True,False,12
VES,Mercedes,85.281,29.427,31.617,24.237,MEDIUM,14,True,False,1
HAD,Red Bull Racing,85.318,29.478,31.238,24.602,MEDIUM,11,True,False,1
SAI,Williams,85.324,29.653,31.169,24.502,MEDIUM,13,True,False,1
SAI,Williams,85.347,29.574,31.361,24.412,MEDIUM,12,True,False,1
HAD,Red Bull Racing,85.356,29.502,31.283,24.571,MEDIUM,13,True,False,1
VES,Mercedes,85.377,29.65,31.736,23.991,MEDIUM,4,True,False,1
ALO,Aston Martin,85.56,29.607,31.558,24.395,HARD,11,True,False,1
HAD,Red Bull Racing,85.564,29.409,31.256,24.899,MEDIUM,14,True,False,1
ALO,Aston Martin,85.595,29.805,31.552,24.238,HARD,6,True,False,1
HER,Cadillac,85.616,29.708,31.913,23.995,HARD,7,True,False,1
VER,Red Bull Racing,85.619,29.691,31.263,24.665,MEDIUM,14,True,False,1
ALB,Williams,85.625,29.938,31.465,24.222,SOFT,8,True,False,21
LEC,Ferrari,85.666,30.831,30.93,23.905,SOFT,6,True,False,12
SAI,Williams,85.682,29.862,31.244,24.576,MEDIUM,15,True,False,1
ALO,Aston Martin,85.702,29.89,31.614,24.198,HARD,10,True,False,1
GAS,Alpine,85.718,29.415,31.977,24.326,SOFT,8,True,False,1
HER,Cadillac,85.774,30.091,31.717,23.966,HARD,11,True,False,1
LIN,Racing Bulls,85.792,29.948,31.076,24.768,MEDIUM,2,True,False,1
BOR,Audi,85.818,30.425,31.192,24.201,SOFT,7,True,False,21
STR,Aston Martin,85.86,30.241,31.498,24.121,HARD,7,True,False,1
ALO,Aston Martin,85.921,29.95,31.602,24.369,HARD,7,True,False,1
NOR,McLaren,85.935,29.487,31.833,24.615,SOFT,10,True,False,1
PER,Cadillac,85.944,29.605,31.9,24.439,SOFT,5,True,False,1
ALB,Williams,85.972,30.263,31.562,24.147,MEDIUM,2,True,False,1
NOR,McLaren,86.004,29.394,31.528,25.082,SOFT,8,True,False,1
VES,Mercedes,86.07,30.613,31.426,24.031,MEDIUM,12,True,False,1
PER,Cadillac,86.122,29.558,32.009,24.555,SOFT,6,True,False,1
PER,Cadillac,86.162,29.782,31.741,24.639,SOFT,10,True,False,1
LIN,Racing Bulls,86.188,29.958,31.515,24.715,MEDIUM,15,True,False,12
