Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,NOR,McLaren,1:17.939,77.939,SOFT,6.0,1,27.632,27.839,22.468
2,HAM,Ferrari,1:18.056,78.056,SOFT,2.0,1,27.589,28.314,22.153
3,ANT,Mercedes,1:18.068,78.068,SOFT,5.0,1,27.751,27.933,22.384
4,LEC,Ferrari,1:18.291,78.291,SOFT,2.0,1,27.665,28.277,22.349
5,PIA,McLaren,1:18.438,78.438,SOFT,6.0,1,27.778,28.109,22.551
6,RUS,Mercedes,1:18.541,78.541,SOFT,7.0,1,27.9,28.319,22.322
7,VER,Red Bull Racing,1:18.656,78.656,SOFT,2.0,1,27.652,28.282,22.722
8,HAD,Red Bull Racing,1:18.943,78.943,SOFT,7.0,1,27.845,28.337,22.761
9,LAW,Racing Bulls,1:19.088,79.088,SOFT,2.0,1,28.145,28.258,22.685
10,HUL,Audi,1:19.160,79.16,SOFT,2.0,1,27.936,28.352,22.872
11,BOR,Audi,1:19.338,79.338,SOFT,2.0,1,28.061,28.497,22.78
12,GAS,Alpine,1:19.723,79.723,SOFT,2.0,1,27.95,28.95,22.823
13,LIN,Racing Bulls,1:19.895,79.895,SOFT,4.0,1,28.079,28.647,23.169
14,COL,Alpine,1:20.055,80.055,SOFT,2.0,1,28.037,28.954,23.064
15,OCO,Haas F1 Team,1:20.295,80.295,SOFT,2.0,1,28.279,29.047,22.969
16,BEA,Haas F1 Team,1:20.312,80.312,SOFT,5.0,1,28.198,29.132,22.982
17,ALO,Aston Martin,1:20.393,80.393,SOFT,2.0,1,28.349,28.945,23.099
18,STR,Aston Martin,1:20.933,80.933,SOFT,3.0,1,28.877,28.947,23.109
19,BOT,Cadillac,1:21.299,81.299,SOFT,5.0,1,28.527,29.616,23.156
20,SAI,Williams,1:21.406,81.406,SOFT,9.0,1,28.434,29.61,23.362
21,ALB,Williams,1:21.513,81.513,SOFT,4.0,1,28.467,29.522,23.524
