Driver,Team,best_FP1_lap,best_FP1_lap_seconds,best_FP1_theoretical_lap,best_FP1_theoretical_seconds,best_FP2_lap,best_FP2_lap_seconds,best_FP2_theoretical_lap,best_FP2_theoretical_seconds,best_FP3_lap,best_FP3_lap_seconds,best_FP3_theoretical_lap,best_FP3_theoretical_seconds
ALB,Williams,1:21.819,81.819,1:21.819,81.819,1:20.973,80.973,1:20.973,80.973,1:21.513,81.513,1:21.513,81.513
ALO,Aston Martin,1:21.550,81.55,1:21.517,81.517,1:21.719,81.719,1:21.700,81.69999999999999,1:20.393,80.393,1:20.294,80.294
ANT,Mercedes,,,,,1:20.693,80.693,1:20.611,80.611,1:18.068,78.068,1:17.965,77.965
BEA,Haas F1 Team,,,,,1:20.950,80.95,1:20.950,80.95,1:20.312,80.312,1:20.192,80.192
BOR,Audi,1:20.360,80.36,1:20.360,80.36,1:20.474,80.474,1:20.474,80.47399999999999,1:19.338,79.338,1:19.334,79.334
BOT,Cadillac,,,,,1:21.442,81.442,1:21.442,81.442,1:21.299,81.299,1:21.239,81.239
COL,Alpine,,,,,1:22.531,82.531,1:22.531,82.531,1:20.055,80.055,1:20.055,80.055
GAS,Alpine,1:21.704,81.704,1:21.644,81.644,1:20.816,80.816,1:20.816,80.816,1:19.723,79.723,1:19.723,79.723
HAD,Red Bull Racing,1:19.997,79.997,1:19.997,79.997,1:19.800,79.8,1:19.800,79.80000000000001,1:18.943,78.943,1:18.801,78.801
HAM,Ferrari,1:19.618,79.618,1:19.618,79.618,1:18.729,78.729,1:18.651,78.651,1:18.056,78.056,1:18.056,78.056
HUL,Audi,1:20.623,80.623,1:20.590,80.59,1:20.125,80.125,1:19.991,79.99099999999999,1:19.160,79.16,1:19.160,79.16
LAW,Racing Bulls,1:20.866,80.866,1:20.866,80.866,1:20.041,80.041,1:20.041,80.041,1:19.088,79.088,1:19.088,79.088
LEC,Ferrari,1:19.075,79.075,1:19.075,79.075,1:18.877,78.877,1:18.877,78.877,1:18.291,78.291,1:18.188,78.188
LIN,Racing Bulls,1:20.760,80.76,1:20.760,80.75999999999999,1:20.253,80.253,1:20.253,80.253,1:19.895,79.895,1:19.630,79.63
NOR,McLaren,1:21.024,81.024,1:20.630,80.63,1:19.228,79.228,1:19.228,79.22800000000001,1:17.939,77.939,1:17.926,77.926
OCO,Haas F1 Team,1:21.051,81.051,1:21.051,81.051,1:20.557,80.557,1:20.557,80.557,1:20.295,80.295,1:20.295,80.295
PER,,1:22.089,82.089,1:22.089,82.089,1:21.792,81.792,1:21.748,81.74799999999999,,,,
PIA,McLaren,,,,,1:20.101,80.101,1:20.025,80.025,1:18.438,78.438,1:18.313,78.313
RUS,Mercedes,1:20.066,80.066,1:20.066,80.066,1:19.662,79.662,1:19.645,79.64500000000001,1:18.541,78.541,1:18.491,78.491
SAI,Williams,1:23.734,83.734,1:23.153,83.153,1:21.426,81.426,1:21.426,81.426,1:21.406,81.406,1:21.399,81.399
STR,Aston Martin,1:23.471,83.471,1:23.471,83.471,,,,,1:20.933,80.933,1:20.640,80.64
VER,Red Bull Racing,1:19.559,79.559,1:19.559,79.559,1:19.421,79.421,1:19.421,79.42099999999999,1:18.656,78.656,1:18.559,78.559
