Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,LEC,Ferrari,1:29.310,89.31,SOFT,6.0,1,30.65,33.673,24.987
2,VER,Red Bull Racing,1:29.607,89.607,SOFT,5.0,1,31.053,33.663,24.891
3,PIA,McLaren,1:29.758,89.758,SOFT,5.0,1,30.761,33.906,25.091
4,HAM,Ferrari,1:29.777,89.777,SOFT,2.0,1,30.594,33.859,25.324
5,ANT,Mercedes,1:30.079,90.079,HARD,8.0,1,30.972,33.918,25.189
6,RUS,Mercedes,1:30.100,90.1,SOFT,2.0,1,30.84,33.945,25.315
7,NOR,McLaren,1:30.208,90.208,HARD,13.0,1,30.905,33.873,25.43
8,GAS,Alpine,1:30.587,90.587,SOFT,5.0,1,31.386,33.849,25.352
9,HAD,Red Bull Racing,1:30.873,90.873,SOFT,5.0,1,31.573,33.983,25.317
10,SAI,Williams,1:30.930,90.93,SOFT,3.0,1,31.766,33.824,25.34
11,COL,Alpine,1:31.015,91.015,SOFT,3.0,1,31.422,34.264,25.329
12,ALB,Williams,1:31.024,91.024,SOFT,2.0,1,31.616,34.262,25.146
13,BEA,Haas F1 Team,1:31.091,91.091,SOFT,2.0,1,31.401,34.113,25.577
14,BOR,Audi,1:31.111,91.111,SOFT,5.0,1,31.813,34.106,25.192
15,HUL,Audi,1:31.595,91.595,HARD,14.0,1,31.53,34.54,25.525
16,OCO,Haas F1 Team,1:31.635,91.635,SOFT,7.0,1,31.734,34.288,25.613
17,LAW,Racing Bulls,1:31.648,91.648,MEDIUM,6.0,1,31.593,34.528,25.527
18,PER,Cadillac,1:32.047,92.047,SOFT,5.0,1,31.882,34.508,25.657
19,ALO,Aston Martin,1:32.593,92.593,MEDIUM,6.0,1,31.909,34.891,25.793
20,BOT,Cadillac,1:32.762,92.762,SOFT,3.0,1,32.156,34.665,25.941
21,LIN,Racing Bulls,1:32.862,92.862,MEDIUM,10.0,1,32.33,34.905,25.627
22,STR,Aston Martin,1:32.959,92.959,MEDIUM,5.0,1,32.368,34.828,25.763
