Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus
1,HAM,Ferrari,1:13.026,73.026,SOFT,3.0,1
2,LEC,Ferrari,1:13.137,73.137,SOFT,4.0,1
3,VER,Red Bull Racing,1:13.194,73.194,SOFT,9.0,1
4,RUS,Mercedes,1:13.405,73.405,SOFT,13.0,1
5,ANT,Mercedes,1:13.529,73.529,SOFT,15.0,1
6,HAD,Red Bull Racing,1:14.087,74.087,SOFT,6.0,1
7,PIA,McLaren,1:14.088,74.088,SOFT,7.0,1
8,HUL,Audi,1:14.094,74.094,SOFT,3.0,1
9,BOR,Audi,1:14.359,74.359,SOFT,12.0,1
10,BEA,Haas F1 Team,1:14.456,74.456,SOFT,10.0,1
11,GAS,Alpine,1:14.497,74.497,SOFT,7.0,1
12,SAI,Williams,1:14.512,74.512,SOFT,4.0,1
13,ALB,Williams,1:14.600,74.6,SOFT,7.0,1
14,LIN,Racing Bulls,1:14.748,74.748,SOFT,3.0,1
15,COL,Alpine,1:14.758,74.758,SOFT,5.0,1
16,LAW,Racing Bulls,1:14.785,74.785,SOFT,12.0,1
17,OCO,Haas F1 Team,1:14.845,74.845,SOFT,8.0,1
18,PER,Cadillac,1:15.116,75.116,SOFT,3.0,1
19,NOR,McLaren,1:15.274,75.274,MEDIUM,5.0,1
20,ALO,Aston Martin,1:15.294,75.294,SOFT,5.0,1
21,BOT,Cadillac,1:15.759,75.759,SOFT,6.0,1
22,STR,Aston Martin,1:16.174,76.174,SOFT,6.0,1
