Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,LEC,Ferrari,1:23.008,83.008,MEDIUM,2.0,1,27.224,28.105,27.679
2,HAM,Ferrari,1:23.181,83.181,MEDIUM,9.0,1,27.345,28.245,27.591
3,RUS,Mercedes,1:23.312,83.312,SOFT,2.0,1,27.39,28.011,27.911
4,LAW,Red Bull Racing,1:23.433,83.433,SOFT,11.0,1,27.543,28.222,27.668
5,ANT,Mercedes,1:23.644,83.644,SOFT,3.0,1,27.277,28.205,28.162
6,NOR,McLaren,1:23.719,83.719,MEDIUM,8.0,1,27.434,28.37,27.915
7,LIN,Racing Bulls,1:23.802,83.802,MEDIUM,2.0,1,27.558,28.344,27.9
8,BOR,Audi,1:24.006,84.006,SOFT,2.0,1,27.854,28.219,27.933
9,COL,Alpine,1:24.028,84.028,MEDIUM,8.0,1,27.31,28.548,28.17
10,ARO,Alpine,1:24.177,84.177,SOFT,9.0,1,27.272,28.432,28.473
11,PIA,McLaren,1:24.184,84.184,SOFT,6.0,1,27.622,28.343,28.219
12,TSU,Racing Bulls,1:24.571,84.571,MEDIUM,2.0,1,27.685,28.629,28.257
13,HUL,Audi,1:24.626,84.626,SOFT,6.0,1,28.079,28.373,28.174
14,BEA,Haas F1 Team,1:24.646,84.646,SOFT,6.0,1,27.728,28.503,28.415
15,BRO,Williams,1:24.740,84.74,SOFT,6.0,1,27.418,28.77,28.552
16,SAI,Williams,1:24.827,84.827,MEDIUM,6.0,1,27.561,28.744,28.522
17,IWA,Red Bull Racing,1:24.873,84.873,SOFT,2.0,1,27.768,28.786,28.319
18,OCO,Haas F1 Team,1:25.852,85.852,HARD,11.0,1,28.04,29.051,28.761
19,BOT,Cadillac,1:25.984,85.984,MEDIUM,6.0,1,27.962,29.157,28.865
20,STR,Aston Martin,1:26.066,86.066,MEDIUM,6.0,1,28.479,28.924,28.663
21,ALO,Aston Martin,1:26.072,86.072,MEDIUM,7.0,1,28.122,29.13,28.82
22,HER,Cadillac,1:29.922,89.922,HARD,4.0,1,28.655,30.791,30.476
