Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,GAS,Alpine,1:21.786,81.786,SOFT,2.0,1,26.817,27.706,27.263
2,RUS,Mercedes,1:21.846,81.846,SOFT,2.0,1,27.006,27.596,27.244
3,ANT,Mercedes,1:21.882,81.882,SOFT,5.0,1,26.957,27.684,27.241
4,PIA,McLaren,1:21.966,81.966,SOFT,2.0,1,26.931,27.742,27.293
5,LEC,Ferrari,1:22.004,82.004,SOFT,2.0,1,26.982,27.941,27.081
6,HAM,Ferrari,1:22.011,82.011,SOFT,2.0,1,26.925,27.867,27.219
7,NOR,McLaren,1:22.067,82.067,SOFT,2.0,1,26.921,27.823,27.323
8,VER,Red Bull Racing,1:22.070,82.07,SOFT,2.0,1,27.013,27.881,27.176
9,COL,Alpine,1:22.220,82.22,SOFT,2.0,1,26.874,27.84,27.506
10,LIN,Racing Bulls,1:22.286,82.286,SOFT,2.0,1,27.166,27.84,27.28
11,BOR,Audi,1:22.517,82.517,SOFT,2.0,1,27.155,27.859,27.503
12,BEA,Haas F1 Team,1:22.756,82.756,SOFT,2.0,1,27.169,28.181,27.406
13,HUL,Audi,1:22.779,82.779,SOFT,2.0,1,27.179,28.005,27.595
14,LAW,Red Bull Racing,1:22.821,82.821,SOFT,4.0,1,27.407,28.05,27.364
15,SAI,Williams,1:23.453,83.453,SOFT,2.0,1,27.096,28.353,28.004
16,OCO,Haas F1 Team,1:23.454,83.454,SOFT,2.0,1,27.283,28.487,27.684
17,TSU,Racing Bulls,1:23.755,83.755,SOFT,2.0,1,27.835,28.409,27.511
18,ALB,Williams,1:24.356,84.356,SOFT,2.0,1,27.232,28.751,28.373
19,BOT,Cadillac,1:24.364,84.364,SOFT,2.0,1,27.407,28.602,28.355
20,PER,Cadillac,1:24.595,84.595,SOFT,2.0,1,27.703,28.721,28.171
21,ALO,Aston Martin,1:25.150,85.15,SOFT,5.0,1,27.995,28.8,28.355
22,STR,Aston Martin,1:25.222,85.222,SOFT,2.0,1,28.084,28.775,28.363
