Driver,Team,best_FP1_lap,best_FP1_lap_seconds,best_FP1_theoretical_lap,best_FP1_theoretical_seconds,best_FP2_lap,best_FP2_lap_seconds,best_FP2_theoretical_lap,best_FP2_theoretical_seconds,best_FP3_lap,best_FP3_lap_seconds,best_FP3_theoretical_lap,best_FP3_theoretical_seconds
ALB,Williams,,,,,1:23.853,83.853,1:23.853,83.85300000000001,1:24.437,84.437,1:24.264,84.264
ALO,Aston Martin,1:26.072,86.072,1:25.943,85.943,1:25.027,85.027,1:24.972,84.972,1:24.919,84.919,1:24.833,84.833
ANT,Mercedes,1:23.644,83.644,1:23.644,83.644,1:22.700,82.7,1:22.665,82.66499999999999,1:22.580,82.58,1:22.482,82.482
BEA,Haas F1 Team,1:24.646,84.646,1:24.642,84.642,1:23.370,83.37,1:23.370,83.37,1:23.585,83.585,1:23.585,83.58500000000001
BOR,Audi,1:24.006,84.006,1:23.947,83.947,1:23.776,83.776,1:23.665,83.66499999999999,1:23.298,83.298,1:23.243,83.243
BOT,Cadillac,1:25.984,85.984,1:25.865,85.865,1:25.149,85.149,1:24.954,84.95400000000001,1:25.004,85.004,1:24.642,84.642
COL,Alpine,1:24.028,84.028,1:23.694,83.694,1:23.619,83.619,1:23.619,83.619,1:23.101,83.101,1:23.101,83.101
GAS,Alpine,,,,,1:23.773,83.773,1:23.773,83.773,1:22.898,82.898,1:22.881,82.881
HAM,Ferrari,1:23.181,83.181,1:23.181,83.18100000000001,1:23.016,83.016,1:23.016,83.016,1:22.445,82.445,1:22.378,82.378
HUL,Audi,1:24.626,84.626,1:24.289,84.289,1:23.732,83.732,1:23.732,83.732,1:23.126,83.126,1:23.126,83.126
LAW,Red Bull Racing,1:23.433,83.433,1:23.433,83.43299999999999,1:23.660,83.66,1:23.660,83.66,1:23.203,83.203,1:23.125,83.125
LEC,Ferrari,1:23.008,83.008,1:23.008,83.008,1:22.679,82.679,1:22.679,82.679,1:22.708,82.708,1:22.616,82.616
LIN,Racing Bulls,1:23.802,83.802,1:23.733,83.733,1:23.349,83.349,1:23.339,83.339,1:22.724,82.724,1:22.640,82.64
NOR,McLaren,1:23.719,83.719,1:23.632,83.632,1:22.943,82.943,1:22.904,82.904,1:22.625,82.625,1:22.471,82.471
OCO,Haas F1 Team,1:25.852,85.852,1:25.433,85.433,1:24.407,84.407,1:24.298,84.298,1:24.020,84.02,1:23.961,83.961
PER,Cadillac,,,,,1:25.082,85.082,1:25.001,85.00099999999999,1:25.031,85.031,1:24.924,84.92399999999999
PIA,McLaren,1:24.184,84.184,1:24.021,84.021,1:23.028,83.028,1:23.028,83.02799999999999,1:22.773,82.773,1:22.581,82.581
RUS,Mercedes,1:23.312,83.312,1:23.259,83.259,1:22.559,82.559,1:22.559,82.559,1:22.219,82.219,1:22.142,82.142
SAI,Williams,1:24.827,84.827,1:24.581,84.58099999999999,1:23.900,83.9,1:23.850,83.85,1:23.875,83.875,1:23.746,83.746
STR,Aston Martin,1:26.066,86.066,1:25.831,85.831,1:25.253,85.253,1:25.253,85.253,1:25.555,85.555,1:25.435,85.435
TSU,Racing Bulls,1:24.571,84.571,1:24.301,84.301,1:23.455,83.455,1:23.455,83.455,1:23.817,83.817,1:23.817,83.817
VER,Red Bull Racing,,,,,1:23.377,83.377,1:23.243,83.243,1:22.569,82.569,1:22.569,82.569
