Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,ANT,Mercedes,1:12.949,72.949,SOFT,4.0,1,25.042,25.714,22.193
2,NOR,McLaren,1:13.070,73.07,SOFT,6.0,1,25.175,25.529,22.366
3,RUS,Mercedes,1:13.074,73.074,SOFT,6.0,1,25.043,25.794,22.237
4,HAM,Ferrari,1:13.139,73.139,SOFT,2.0,1,25.09,25.915,22.134
5,LEC,Ferrari,1:13.238,73.238,SOFT,7.0,1,25.221,25.961,22.056
6,PIA,McLaren,1:13.608,73.608,SOFT,2.0,1,25.189,25.859,22.56
7,HUL,Audi,1:13.784,73.784,MEDIUM,2.0,1,25.434,26.079,22.271
8,GAS,Alpine,1:13.911,73.911,SOFT,2.0,1,25.367,26.1,22.444
9,BOR,Audi,1:13.992,73.992,MEDIUM,2.0,1,25.563,26.091,22.338
10,LIN,Racing Bulls,1:14.285,74.285,MEDIUM,6.0,1,25.393,26.313,22.579
11,VER,Red Bull Racing,1:14.325,74.325,SOFT,2.0,1,25.514,26.323,22.488
12,ALO,Aston Martin,1:14.511,74.511,SOFT,2.0,1,25.51,26.437,22.564
13,COL,Alpine,1:14.826,74.826,SOFT,2.0,1,25.782,26.562,22.482
14,LAW,Red Bull Racing,1:14.861,74.861,SOFT,6.0,1,25.751,26.249,22.861
15,BEA,Haas F1 Team,1:14.874,74.874,SOFT,2.0,1,25.852,26.577,22.445
16,OCO,Haas F1 Team,1:14.897,74.897,SOFT,2.0,1,25.85,26.572,22.475
17,TSU,Racing Bulls,1:15.110,75.11,MEDIUM,2.0,1,25.798,26.543,22.769
18,STR,Aston Martin,1:15.199,75.199,SOFT,2.0,1,26.01,26.479,22.71
19,ALB,Williams,1:15.357,75.357,MEDIUM,2.0,1,25.837,26.736,22.784
20,BOT,Cadillac,1:15.580,75.58,SOFT,2.0,1,26.068,26.832,22.68
21,PER,Cadillac,1:15.700,75.7,SOFT,2.0,1,26.19,26.746,22.764
22,SAI,Williams,1:16.345,76.345,MEDIUM,8.0,1,26.092,27.361,22.892
