Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
ANT,Mercedes,72.949,25.042,25.714,22.193,SOFT,4,True,False,1
NOR,McLaren,73.07,25.175,25.529,22.366,SOFT,6,True,False,1
RUS,Mercedes,73.074,25.043,25.794,22.237,SOFT,6,True,False,1
NOR,McLaren,73.105,24.957,25.828,22.32,SOFT,3,True,False,1
HAM,Ferrari,73.139,25.09,25.915,22.134,SOFT,2,True,False,1
LEC,Ferrari,73.238,25.221,25.961,22.056,SOFT,7,True,False,1
LEC,Ferrari,73.347,25.408,25.803,22.136,SOFT,3,True,False,1
RUS,Mercedes,73.466,25.152,26.076,22.238,SOFT,3,True,False,1
PIA,McLaren,73.608,25.189,25.859,22.56,SOFT,2,True,False,1
HUL,Audi,73.784,25.434,26.079,22.271,MEDIUM,2,True,False,1
PIA,McLaren,73.82,25.236,26.062,22.522,SOFT,7,True,False,1
HUL,Audi,73.858,25.436,26.021,22.401,MEDIUM,5,True,False,1
GAS,Alpine,73.911,25.367,26.1,22.444,SOFT,2,True,False,1
PIA,McLaren,73.934,25.546,25.977,22.411,SOFT,4,True,False,1
BOR,Audi,73.992,25.563,26.091,22.338,MEDIUM,2,True,False,1
BOR,Audi,74.053,25.451,26.055,22.547,MEDIUM,5,True,False,1
LEC,Ferrari,74.146,25.501,26.308,22.337,MEDIUM,15,True,False,1
HAM,Ferrari,74.259,25.734,26.154,22.371,MEDIUM,10,True,False,1
ANT,Mercedes,74.269,25.448,26.379,22.442,MEDIUM,12,True,False,1
LIN,Racing Bulls,74.285,25.393,26.313,22.579,MEDIUM,6,True,False,1
VER,Red Bull Racing,74.325,25.514,26.323,22.488,SOFT,2,True,False,1
LEC,Ferrari,74.506,25.639,26.465,22.402,MEDIUM,12,True,False,1
ALO,Aston Martin,74.511,25.51,26.437,22.564,SOFT,2,True,False,1
RUS,Mercedes,74.526,25.599,26.386,22.541,MEDIUM,13,True,False,1
NOR,McLaren,74.724,25.642,26.244,22.838,MEDIUM,11,True,False,1
LIN,Racing Bulls,74.73,25.62,26.391,22.719,MEDIUM,2,True,False,1
HAM,Ferrari,74.742,25.735,26.375,22.632,MEDIUM,8,True,False,1
LIN,Racing Bulls,74.778,25.587,26.543,22.648,MEDIUM,8,True,False,1
COL,Alpine,74.826,25.782,26.562,22.482,SOFT,2,True,False,1
VER,Red Bull Racing,74.848,25.686,26.39,22.772,HARD,9,True,False,1
LAW,Red Bull Racing,74.861,25.751,26.249,22.861,SOFT,6,True,False,1
BEA,Haas F1 Team,74.874,25.852,26.577,22.445,SOFT,2,True,False,1
BEA,Haas F1 Team,74.888,25.842,26.525,22.521,SOFT,5,True,False,1
OCO,Haas F1 Team,74.897,25.85,26.572,22.475,SOFT,2,True,False,1
RUS,Mercedes,74.908,25.745,26.522,22.641,MEDIUM,11,True,False,1
LEC,Ferrari,74.925,25.9,26.528,22.497,MEDIUM,8,True,False,1
VER,Red Bull Racing,74.942,25.673,26.38,22.889,HARD,7,True,False,1
RUS,Mercedes,74.951,25.822,26.533,22.596,MEDIUM,9,True,False,12
NOR,McLaren,74.958,25.708,26.298,22.952,MEDIUM,7,True,False,1
OCO,Haas F1 Team,74.961,25.842,26.556,22.563,SOFT,2,True,False,1
BOR,Audi,75.097,25.967,26.576,22.554,HARD,10,True,False,1
TSU,Racing Bulls,75.11,25.798,26.543,22.769,MEDIUM,2,True,False,1
HAM,Ferrari,75.124,26.147,26.451,22.526,MEDIUM,6,True,False,12
STR,Aston Martin,75.199,26.01,26.479,22.71,SOFT,2,True,False,1
