Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,NOR,McLaren,1:11.163,71.163,SOFT,2.0,1,24.456,24.898,21.809
2,RUS,Mercedes,1:11.265,71.265,SOFT,2.0,1,24.3,25.178,21.787
3,ANT,Mercedes,1:11.296,71.296,SOFT,2.0,1,24.498,25.155,21.643
4,PIA,McLaren,1:11.305,71.305,SOFT,2.0,1,24.432,24.988,21.885
5,HAM,Ferrari,1:11.494,71.494,SOFT,3.0,1,24.658,25.048,21.788
6,LEC,Ferrari,1:11.558,71.558,SOFT,3.0,1,24.57,25.17,21.818
7,VER,Red Bull Racing,1:11.618,71.618,SOFT,2.0,1,24.533,25.32,21.765
8,LAW,Red Bull Racing,1:11.733,71.733,SOFT,2.0,1,24.574,25.221,21.938
9,BOR,Audi,1:12.079,72.079,SOFT,2.0,1,24.947,25.294,21.838
10,LIN,Racing Bulls,1:12.185,72.185,SOFT,2.0,1,24.808,25.477,21.9
11,GAS,Alpine,1:12.616,72.616,SOFT,2.0,1,25.086,25.505,22.025
12,TSU,Racing Bulls,1:12.627,72.627,SOFT,2.0,1,24.966,25.76,21.901
13,HUL,Audi,1:12.797,72.797,SOFT,2.0,1,25.317,25.502,21.978
14,COL,Alpine,1:12.800,72.8,SOFT,2.0,1,24.929,25.743,22.128
15,OCO,Haas F1 Team,1:13.137,73.137,SOFT,2.0,1,25.055,25.807,22.275
16,ALB,Williams,1:13.182,73.182,SOFT,2.0,1,25.19,25.873,22.119
17,SAI,Williams,1:13.574,73.574,SOFT,2.0,1,25.091,26.107,22.376
18,ALO,Aston Martin,1:13.650,73.65,SOFT,2.0,1,25.331,25.922,22.397
19,STR,Aston Martin,1:13.818,73.818,SOFT,2.0,1,25.479,25.883,22.456
20,BEA,Haas F1 Team,1:13.826,73.826,SOFT,3.0,1,25.394,26.075,22.357
21,BOT,Cadillac,1:14.371,74.371,SOFT,2.0,1,25.6,26.341,22.43
22,PER,Cadillac,1:14.600,74.6,SOFT,2.0,1,25.717,26.339,22.544
