Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
RUS,Mercedes,71.567,24.381,25.434,21.752,SOFT,3,True,False,1
NOR,McLaren,71.608,24.622,24.983,22.003,SOFT,3,True,False,1
LEC,Ferrari,71.622,24.599,25.146,21.877,SOFT,3,True,False,1
PIA,McLaren,71.666,24.467,25.169,22.03,SOFT,3,True,False,1
ANT,Mercedes,71.794,24.431,25.416,21.947,SOFT,3,True,False,1
PIA,McLaren,72.026,24.719,25.23,22.077,MEDIUM,3,True,False,1
VER,Red Bull Racing,72.094,24.667,25.381,22.046,SOFT,3,True,False,1
PIA,McLaren,72.108,24.734,25.223,22.151,MEDIUM,6,True,False,1
NOR,McLaren,72.189,24.755,25.258,22.176,MEDIUM,6,True,False,1
LEC,Ferrari,72.19,24.805,25.342,22.043,MEDIUM,3,True,False,1
HAM,Ferrari,72.191,24.916,25.311,21.964,SOFT,3,True,False,1
RUS,Mercedes,72.235,24.651,25.507,22.077,MEDIUM,3,True,False,1
HAM,Ferrari,72.445,24.821,25.469,22.155,MEDIUM,3,True,False,1
ANT,Mercedes,72.511,24.787,25.533,22.191,MEDIUM,3,True,False,1
NOR,McLaren,72.514,24.861,25.266,22.387,MEDIUM,3,True,False,1
GAS,Alpine,72.578,25.094,25.493,21.991,SOFT,2,True,False,1
BOR,Audi,72.583,24.973,25.541,22.069,SOFT,2,True,False,1
GAS,Alpine,72.72,25.0,25.62,22.1,MEDIUM,2,True,False,1
LIN,Racing Bulls,72.737,24.812,25.768,22.157,SOFT,3,True,False,1
VER,Red Bull Racing,72.771,24.945,25.572,22.254,MEDIUM,3,True,False,1
LIN,Racing Bulls,72.785,24.903,25.734,22.148,MEDIUM,3,True,False,1
BOR,Audi,72.786,25.1,25.697,21.989,MEDIUM,2,True,False,1
LEC,Ferrari,73.011,25.084,25.718,22.209,MEDIUM,7,True,False,1
LEC,Ferrari,73.013,25.051,25.7,22.262,MEDIUM,5,True,False,1
NOR,McLaren,73.071,25.159,25.617,22.295,MEDIUM,3,True,False,1
PIA,McLaren,73.126,24.94,25.758,22.428,MEDIUM,3,True,False,1
LAW,Red Bull Racing,73.136,25.238,25.747,22.151,MEDIUM,5,True,False,1
TSU,Racing Bulls,73.145,25.055,25.831,22.259,MEDIUM,3,True,False,1
HAM,Ferrari,73.151,25.074,25.564,22.513,MEDIUM,3,True,False,1
LAW,Red Bull Racing,73.166,25.21,25.67,22.286,MEDIUM,3,True,False,1
LEC,Ferrari,73.229,25.211,25.719,22.299,MEDIUM,3,True,False,1
RUS,Mercedes,73.278,25.122,26.054,22.102,MEDIUM,8,True,False,1
LAW,Red Bull Racing,73.42,25.286,25.87,22.264,MEDIUM,6,True,False,1
COL,Alpine,73.439,25.327,25.87,22.242,MEDIUM,2,True,False,1
RUS,Mercedes,73.45,25.122,26.211,22.117,MEDIUM,6,True,False,1
VER,Red Bull Racing,73.585,25.321,25.912,22.352,MEDIUM,6,True,False,1
LAW,Red Bull Racing,73.608,25.535,25.805,22.268,MEDIUM,4,True,False,1
HUL,Audi,73.616,25.399,25.964,22.253,MEDIUM,2,True,False,1
ANT,Mercedes,73.668,25.157,26.067,22.444,MEDIUM,5,True,False,1
BOR,Audi,73.73,25.315,25.889,22.526,MEDIUM,2,True,False,1
RUS,Mercedes,73.829,25.282,26.134,22.413,MEDIUM,3,True,False,1
VER,Red Bull Racing,73.851,25.352,26.039,22.46,MEDIUM,3,True,False,1
OCO,Haas F1 Team,73.893,25.479,26.054,22.36,MEDIUM,2,True,False,1
HUL,Audi,73.926,25.666,25.977,22.283,MEDIUM,2,True,False,1
GAS,Alpine,73.977,25.505,26.012,22.46,MEDIUM,2,True,False,1
LIN,Racing Bulls,74.057,25.259,26.174,22.624,MEDIUM,6,True,False,1
BOR,Audi,74.06,25.587,26.109,22.364,MEDIUM,5,True,False,1
OCO,Haas F1 Team,74.09,25.383,26.234,22.473,MEDIUM,5,True,False,1
LIN,Racing Bulls,74.179,25.243,26.222,22.714,MEDIUM,3,True,False,1
GAS,Alpine,74.252,25.59,26.179,22.483,MEDIUM,5,True,False,1
HUL,Audi,74.284,25.728,26.13,22.426,MEDIUM,6,True,False,1
ALB,Williams,74.294,25.375,26.538,22.381,MEDIUM,9,True,False,1
LAW,Red Bull Racing,74.459,25.972,25.958,22.529,MEDIUM,2,True,False,1
TSU,Racing Bulls,74.49,25.353,26.524,22.613,MEDIUM,6,True,False,1
OCO,Haas F1 Team,74.503,25.52,26.398,22.585,MEDIUM,5,True,False,1
ALB,Williams,74.596,25.446,26.497,22.653,MEDIUM,3,True,False,1
TSU,Racing Bulls,74.606,25.361,26.159,23.086,MEDIUM,3,True,False,1
COL,Alpine,74.618,25.44,26.515,22.663,MEDIUM,2,True,False,1
BEA,Haas F1 Team,74.728,25.533,26.476,22.719,MEDIUM,5,True,False,1
SAI,Williams,74.738,25.602,26.6,22.536,MEDIUM,6,True,False,1
HUL,Audi,74.778,25.91,26.397,22.471,MEDIUM,3,True,False,1
COL,Alpine,74.918,25.738,26.429,22.751,MEDIUM,5,True,False,1
SAI,Williams,74.943,25.478,26.661,22.804,MEDIUM,3,True,False,1
ALB,Williams,75.151,25.582,26.895,22.674,MEDIUM,6,True,False,1
OCO,Haas F1 Team,75.21,26.018,26.328,22.864,MEDIUM,2,True,False,1
STR,Aston Martin,75.391,26.117,26.388,22.886,MEDIUM,2,True,False,1
STR,Aston Martin,75.407,25.967,26.622,22.818,MEDIUM,4,True,False,1
BEA,Haas F1 Team,75.434,25.942,26.64,22.852,MEDIUM,2,True,False,1
BOT,Cadillac,75.472,25.824,27.01,22.638,MEDIUM,6,True,False,1
PER,Cadillac,75.545,25.929,26.849,22.767,MEDIUM,6,True,False,1
BOT,Cadillac,75.908,26.296,26.93,22.682,MEDIUM,2,True,False,1
BOT,Cadillac,75.923,26.215,26.99,22.718,MEDIUM,4,True,False,1
ALO,Aston Martin,76.014,26.118,26.857,23.039,MEDIUM,4,True,False,1
PER,Cadillac,76.167,26.163,26.97,23.034,MEDIUM,3,True,False,1
NOR,McLaren,79.121,27.186,27.805,24.13,SOFT,2,True,False,1
NOR,McLaren,82.546,27.913,30.003,24.63,MEDIUM,2,True,False,1
HAM,Ferrari,83.29,25.998,30.395,26.897,MEDIUM,6,True,False,1
LAW,Red Bull Racing,83.642,29.878,29.025,24.739,MEDIUM,2,True,False,1
NOR,McLaren,83.793,28.749,30.421,24.623,MEDIUM,2,True,False,1
LIN,Racing Bulls,83.864,29.737,29.358,24.769,MEDIUM,2,True,False,1
LEC,Ferrari,84.83,28.155,29.266,27.409,MEDIUM,2,True,False,1
ANT,Mercedes,84.999,29.645,29.855,25.499,SOFT,2,True,False,1
TSU,Racing Bulls,85.045,29.634,29.388,26.023,MEDIUM,2,True,False,1
LIN,Racing Bulls,85.432,29.798,28.633,27.001,SOFT,2,True,False,1
LEC,Ferrari,85.528,28.959,29.262,27.307,SOFT,2,True,False,1
ANT,Mercedes,85.642,30.906,29.147,25.589,MEDIUM,2,True,False,1
LIN,Racing Bulls,86.262,29.817,31.704,24.741,MEDIUM,2,True,False,1
HUL,Audi,87.021,30.514,30.178,26.329,MEDIUM,2,True,False,1
PIA,McLaren,87.701,27.888,31.295,28.518,MEDIUM,2,True,False,1
PIA,McLaren,87.912,29.523,29.532,28.857,MEDIUM,2,True,False,1
PIA,McLaren,87.998,28.677,32.563,26.758,SOFT,2,True,False,1
VER,Red Bull Racing,88.082,27.852,28.841,31.389,MEDIUM,2,True,False,1
TSU,Racing Bulls,88.093,29.423,30.256,28.414,MEDIUM,2,True,False,1
ANT,Mercedes,88.317,30.628,30.851,26.838,MEDIUM,2,True,False,1
RUS,Mercedes,88.58,31.901,31.555,25.124,SOFT,2,True,False,1
LEC,Ferrari,88.858,30.226,31.32,27.312,MEDIUM,2,True,False,1
VER,Red Bull Racing,89.101,28.353,35.958,24.79,MEDIUM,2,True,False,1
RUS,Mercedes,89.19,29.165,33.063,26.962,MEDIUM,2,True,False,1
PER,Cadillac,89.512,26.56,33.943,29.009,MEDIUM,2,True,False,1
RUS,Mercedes,89.566,28.844,35.586,25.136,MEDIUM,2,True,False,1
HAM,Ferrari,90.583,28.056,29.619,32.908,SOFT,2,True,False,1
VER,Red Bull Racing,90.584,27.927,33.674,28.983,SOFT,2,True,False,1
SAI,Williams,91.313,31.474,33.124,26.715,MEDIUM,2,True,False,1
ALO,Aston Martin,91.373,29.38,33.237,28.756,MEDIUM,2,True,False,1
HAM,Ferrari,91.942,31.61,31.643,28.689,MEDIUM,2,True,False,1
HAM,Ferrari,92.124,30.753,33.763,27.608,MEDIUM,2,True,False,1
ALB,Williams,92.349,29.548,33.517,29.284,MEDIUM,2,True,False,1
LIN,Racing Bulls,94.485,33.088,35.864,25.533,MEDIUM,5,True,False,1
RUS,Mercedes,94.92,33.883,34.665,26.372,MEDIUM,5,True,False,1
LEC,Ferrari,96.413,34.473,34.217,27.723,MEDIUM,6,True,False,1
PIA,McLaren,96.642,37.665,32.606,26.371,MEDIUM,5,True,False,1
LEC,Ferrari,97.615,36.121,34.926,26.568,MEDIUM,4,True,False,1
BOT,Cadillac,97.973,39.174,32.437,26.362,MEDIUM,3,True,False,1
HAM,Ferrari,98.029,35.753,32.798,29.478,MEDIUM,4,True,False,1
NOR,McLaren,98.203,34.921,33.882,29.4,MEDIUM,5,True,False,1
TSU,Racing Bulls,98.851,38.074,33.857,26.92,MEDIUM,5,True,False,1
HAM,Ferrari,99.234,38.017,35.18,26.037,MEDIUM,5,True,False,1
NOR,McLaren,99.888,35.797,34.841,29.25,MEDIUM,4,True,False,1
PIA,McLaren,100.661,33.997,37.087,29.577,MEDIUM,4,True,False,1
BOR,Audi,100.785,32.625,38.086,30.074,MEDIUM,4,True,False,1
TSU,Racing Bulls,100.961,37.414,34.293,29.254,MEDIUM,4,True,False,1
RUS,Mercedes,101.501,37.943,34.61,28.948,MEDIUM,4,True,False,1
ALB,Williams,102.159,38.186,34.779,29.194,MEDIUM,4,True,False,1
GAS,Alpine,102.517,37.489,33.627,31.401,MEDIUM,3,True,False,1
COL,Alpine,102.611,38.717,32.928,30.966,MEDIUM,4,True,False,1
ANT,Mercedes,103.575,35.594,40.436,27.545,MEDIUM,6,True,False,1
BOR,Audi,103.683,35.734,37.382,30.567,MEDIUM,3,True,False,1
LAW,Red Bull Racing,103.87,35.989,39.681,28.2,MEDIUM,3,True,False,1
COL,Alpine,104.324,39.854,35.171,29.299,MEDIUM,3,True,False,1
BOT,Cadillac,104.69,34.503,35.699,34.488,MEDIUM,5,True,False,1
