Driver,best_FP1_lap,best_FP1_lap_seconds,best_FP1_theoretical_lap,best_FP1_theoretical_seconds,best_SQ_lap,best_SQ_lap_seconds,best_SQ_theoretical_lap,best_SQ_theoretical_seconds
ALB,1:15.357,75.357,1:15.219,75.21900000000001,1:14.294,74.294,1:14.253,74.253
ALO,1:14.511,74.511,1:14.511,74.511,1:16.014,76.014,1:16.014,76.014
ANT,1:12.949,72.949,1:12.949,72.949,1:11.794,71.794,1:11.794,71.794
BEA,1:14.874,74.874,1:14.812,74.812,1:14.728,74.728,1:14.728,74.72800000000001
BOR,1:13.992,73.992,1:13.844,73.844,1:12.583,72.583,1:12.503,72.503
BOT,1:15.580,75.58,1:15.580,75.58000000000001,1:15.472,75.472,1:15.392,75.39200000000001
COL,1:14.826,74.826,1:14.772,74.77199999999999,1:13.439,73.439,1:13.439,73.43900000000001
GAS,1:13.911,73.911,1:13.911,73.911,1:12.578,72.578,1:12.484,72.484
HAM,1:13.139,73.139,1:13.139,73.139,1:12.191,72.191,1:12.096,72.096
HUL,1:13.784,73.784,1:13.726,73.726,1:13.616,73.616,1:13.616,73.616
LAW,1:14.861,74.861,1:14.700,74.7,1:13.136,73.136,1:13.031,73.031
LEC,1:13.238,73.238,1:12.882,72.882,1:11.622,71.622,1:11.622,71.622
LIN,1:14.285,74.285,1:14.285,74.285,1:12.737,72.737,1:12.694,72.694
NOR,1:13.070,73.07,1:12.806,72.80600000000001,1:11.608,71.608,1:11.608,71.608
OCO,1:14.897,74.897,1:14.873,74.87299999999999,1:13.893,73.893,1:13.797,73.797
PER,1:15.700,75.7,1:15.700,75.7,1:15.545,75.545,1:15.545,75.545
PIA,1:13.608,73.608,1:13.459,73.459,1:11.666,71.666,1:11.666,71.666
RUS,1:13.074,73.074,1:13.074,73.074,1:11.567,71.567,1:11.567,71.567
SAI,1:16.345,76.345,1:16.317,76.317,1:14.738,74.738,1:14.614,74.614
STR,1:15.199,75.199,1:15.199,75.19900000000001,1:15.391,75.391,1:15.173,75.173
TSU,1:15.110,75.11,1:14.967,74.967,1:13.145,73.145,1:13.145,73.145
VER,1:14.325,74.325,1:14.325,74.325,1:12.094,72.094,1:12.094,72.094
