Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,HAM,Ferrari,1:29.260,89.26,SOFT,2.0,1,28.403,36.226,24.631
2,ANT,Mercedes,1:29.473,89.473,SOFT,2.0,1,28.369,36.209,24.895
3,LEC,Ferrari,1:29.859,89.859,SOFT,4.0,1,28.743,36.405,24.711
4,RUS,Mercedes,1:29.938,89.938,SOFT,2.0,1,28.447,36.413,25.078
5,PIA,McLaren,1:30.147,90.147,SOFT,2.0,1,28.512,36.531,25.104
6,VER,Red Bull Racing,1:30.240,90.24,SOFT,2.0,1,28.692,36.628,24.92
7,NOR,McLaren,1:30.288,90.288,SOFT,2.0,1,28.508,36.41,25.37
8,HAD,Red Bull Racing,1:30.338,90.338,SOFT,2.0,1,28.665,36.652,25.021
9,HUL,Audi,1:30.743,90.743,MEDIUM,5.0,1,28.947,36.619,25.177
10,LAW,Racing Bulls,1:30.850,90.85,MEDIUM,3.0,1,28.863,36.793,25.194
11,COL,Alpine,1:30.966,90.966,MEDIUM,5.0,1,28.726,36.964,25.276
12,BOR,Audi,1:31.035,91.035,MEDIUM,2.0,1,29.018,36.864,25.153
13,LIN,Racing Bulls,1:31.339,91.339,MEDIUM,5.0,1,28.766,37.05,25.523
14,BEA,Haas F1 Team,1:31.373,91.373,SOFT,5.0,1,29.179,36.822,25.372
15,OCO,Haas F1 Team,1:31.684,91.684,SOFT,5.0,1,29.173,37.058,25.453
16,SAI,Williams,1:31.684,91.684,SOFT,2.0,1,28.961,37.285,25.438
17,ALB,Williams,1:31.697,91.697,SOFT,2.0,1,28.887,37.073,25.737
18,BOT,Cadillac,1:32.150,92.15,MEDIUM,2.0,1,29.192,37.452,25.506
19,PER,Cadillac,1:32.241,92.241,MEDIUM,2.0,1,29.318,37.2,25.723
20,ALO,Aston Martin,1:32.957,92.957,MEDIUM,3.0,1,29.475,37.713,25.769
21,GAS,Alpine,1:33.019,93.019,HARD,10.0,1,29.379,37.803,25.837
22,STR,Aston Martin,1:33.130,93.13,MEDIUM,2.0,1,29.377,38.048,25.705
