Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
HAM,Ferrari,89.26,28.403,36.226,24.631,SOFT,2,True,False,1
ANT,Mercedes,89.473,28.369,36.209,24.895,SOFT,2,True,False,1
HAM,Ferrari,89.761,28.747,36.177,24.837,SOFT,5,True,False,1
LEC,Ferrari,89.859,28.743,36.405,24.711,SOFT,4,True,False,1
RUS,Mercedes,89.938,28.447,36.413,25.078,SOFT,2,True,False,1
LEC,Ferrari,90.039,28.747,36.471,24.821,SOFT,2,True,False,1
PIA,McLaren,90.147,28.512,36.531,25.104,SOFT,2,True,False,1
RUS,Mercedes,90.239,28.615,36.443,25.181,SOFT,5,True,False,1
VER,Red Bull Racing,90.24,28.692,36.628,24.92,SOFT,2,True,False,1
VER,Red Bull Racing,90.268,28.671,36.462,25.135,SOFT,5,True,False,1
LEC,Ferrari,90.287,28.918,36.233,25.136,SOFT,7,True,False,1
NOR,McLaren,90.288,28.508,36.41,25.37,SOFT,2,True,False,1
PIA,McLaren,90.329,28.762,36.448,25.119,SOFT,8,True,False,1
HAD,Red Bull Racing,90.338,28.665,36.652,25.021,SOFT,2,True,False,1
HAD,Red Bull Racing,90.414,28.673,36.558,25.183,SOFT,6,True,False,1
PIA,McLaren,90.457,28.655,36.628,25.174,SOFT,5,True,False,1
HAM,Ferrari,90.521,28.99,36.666,24.865,HARD,15,True,False,1
HUL,Audi,90.743,28.947,36.619,25.177,MEDIUM,5,True,False,1
HUL,Audi,90.763,28.732,36.867,25.164,MEDIUM,2,True,False,1
ANT,Mercedes,90.777,28.826,36.766,25.185,HARD,11,True,False,1
LAW,Racing Bulls,90.85,28.863,36.793,25.194,MEDIUM,3,True,False,1
COL,Alpine,90.966,28.726,36.964,25.276,MEDIUM,5,True,False,1
HAD,Red Bull Racing,90.969,28.809,36.816,25.344,HARD,6,True,False,1
LAW,Racing Bulls,90.973,28.642,37.05,25.281,MEDIUM,5,True,False,1
ANT,Mercedes,90.976,28.87,36.643,25.463,HARD,7,True,False,1
RUS,Mercedes,90.986,28.834,36.748,25.404,HARD,9,True,False,1
LEC,Ferrari,91.001,29.059,36.845,25.097,HARD,14,True,False,1
