Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
RUS,Mercedes,94.077,29.187,33.715,31.175,SOFT,9,True,False,1
RUS,Mercedes,94.145,29.332,33.677,31.136,SOFT,7,True,False,1
ANT,Mercedes,94.363,29.397,33.725,31.241,SOFT,10,True,False,1
LEC,Ferrari,94.536,29.136,33.688,31.712,SOFT,10,True,False,1
HAM,Ferrari,94.62,29.328,33.918,31.374,MEDIUM,14,True,False,1
ANT,Mercedes,94.683,29.549,33.661,31.473,SOFT,5,True,False,1
LEC,Ferrari,94.683,29.213,33.73,31.74,MEDIUM,12,True,False,1
VER,Red Bull Racing,94.703,29.358,33.853,31.492,SOFT,2,True,False,1
RUS,Mercedes,94.729,29.502,33.947,31.28,SOFT,5,True,False,1
HAM,Ferrari,94.803,29.382,33.817,31.604,MEDIUM,10,True,False,1
ANT,Mercedes,94.865,29.601,33.713,31.551,SOFT,2,True,False,1
HAM,Ferrari,94.865,29.234,33.908,31.723,SOFT,9,True,False,1
NOR,McLaren,94.947,29.419,34.086,31.442,SOFT,4,True,False,1
LIN,Racing Bulls,95.033,29.383,33.799,31.851,SOFT,8,True,False,1
PIA,McLaren,95.148,29.666,33.938,31.544,SOFT,5,True,False,1
ANT,Mercedes,95.148,29.707,33.902,31.539,MEDIUM,10,True,False,1
LEC,Ferrari,95.149,29.306,33.96,31.883,SOFT,6,True,False,1
PIA,McLaren,95.28,29.707,34.044,31.529,SOFT,3,True,False,1
HUL,Audi,95.529,29.374,34.392,31.763,SOFT,2,True,False,1
HUL,Audi,95.533,29.458,34.559,31.516,SOFT,5,True,False,1
LAW,Red Bull Racing,95.539,29.753,33.697,32.089,SOFT,5,True,False,1
HAM,Ferrari,95.563,29.558,34.124,31.881,MEDIUM,6,True,False,1
LEC,Ferrari,95.571,29.431,34.216,31.924,SOFT,2,True,False,1
LIN,Racing Bulls,95.629,29.595,33.91,32.124,SOFT,11,True,False,1
BOR,Audi,95.652,29.145,34.304,32.203,SOFT,2,True,False,1
LIN,Racing Bulls,95.655,29.458,33.886,32.311,SOFT,5,True,False,1
LEC,Ferrari,95.668,29.608,34.196,31.864,MEDIUM,7,True,False,1
LAW,Red Bull Racing,95.691,29.572,33.868,32.251,SOFT,2,True,False,1
LIN,Racing Bulls,95.819,29.706,34.05,32.063,SOFT,2,True,False,1
OCO,Haas F1 Team,95.834,29.648,34.286,31.9,SOFT,5,True,False,1
VER,Red Bull Racing,95.894,29.737,33.905,32.252,MEDIUM,7,True,False,1
HUL,Audi,95.91,29.629,34.578,31.703,SOFT,2,True,False,1
COL,Alpine,95.933,29.723,34.031,32.179,SOFT,4,True,False,1
LEC,Ferrari,96.0,29.555,34.464,31.981,MEDIUM,9,True,False,1
BOR,Audi,96.024,29.29,34.446,32.288,SOFT,5,True,False,1
HAM,Ferrari,96.066,29.616,34.225,32.225,MEDIUM,4,True,False,1
RUS,Mercedes,96.081,30.253,34.355,31.473,SOFT,3,True,False,1
HUL,Audi,96.086,29.542,34.599,31.945,MEDIUM,9,True,False,1
NOR,McLaren,96.091,30.009,34.446,31.636,MEDIUM,8,True,False,1
RUS,Mercedes,96.113,29.563,34.626,31.924,MEDIUM,10,True,False,1
OCO,Haas F1 Team,96.12,29.645,34.238,32.237,SOFT,2,True,False,1
BOR,Audi,96.139,29.421,34.655,32.063,HARD,14,True,False,1
PIA,McLaren,96.235,29.721,34.253,32.261,MEDIUM,11,True,False,1
GAS,Alpine,96.244,29.707,34.181,32.356,SOFT,2,True,False,1
GAS,Alpine,96.275,29.647,34.568,32.06,SOFT,5,True,False,1
BOR,Audi,96.299,29.605,34.444,32.25,HARD,12,True,False,1
COL,Alpine,96.398,29.687,34.04,32.671,SOFT,2,True,False,1
ALO,Aston Martin,96.473,30.058,34.555,31.86,SOFT,6,True,False,1
NOR,McLaren,96.528,29.915,34.577,32.036,MEDIUM,12,True,False,1
RUS,Mercedes,96.569,29.797,34.555,32.217,MEDIUM,8,True,False,1
HUL,Audi,96.613,29.836,34.8,31.977,MEDIUM,7,True,False,1
BOR,Audi,96.62,29.535,34.641,32.444,HARD,10,True,False,1
PIA,McLaren,96.624,29.755,34.417,32.452,MEDIUM,8,True,False,1
VER,Red Bull Racing,96.683,29.614,34.466,32.603,MEDIUM,5,True,False,1
NOR,McLaren,96.687,30.44,34.587,31.66,MEDIUM,6,True,False,1
LEC,Ferrari,96.725,30.057,34.584,32.084,MEDIUM,5,True,False,1
NOR,McLaren,96.735,30.118,34.673,31.944,SOFT,7,True,False,1
NOR,McLaren,96.792,30.016,34.793,31.983,SOFT,6,True,False,1
OCO,Haas F1 Team,96.827,29.88,34.437,32.51,SOFT,8,True,False,1
LAW,Red Bull Racing,96.833,29.953,34.222,32.658,MEDIUM,5,True,False,1
BEA,Haas F1 Team,96.853,29.653,34.666,32.534,SOFT,6,True,False,1
SAI,Williams,96.87,29.957,34.541,32.372,SOFT,6,True,False,1
TSU,Racing Bulls,96.939,30.021,34.423,32.495,MEDIUM,12,True,False,1
BEA,Haas F1 Team,96.972,29.664,34.547,32.761,SOFT,3,True,False,1
