Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,ANT,Mercedes,1:33.662,93.662,SOFT,2.0,1,28.986,33.545,31.131
2,LEC,Ferrari,1:33.775,93.775,SOFT,5.0,1,28.846,33.427,31.502
3,HAM,Ferrari,1:33.811,93.811,SOFT,2.0,1,28.886,33.755,31.17
4,LIN,Racing Bulls,1:33.890,93.89,SOFT,2.0,1,28.822,33.743,31.325
5,RUS,Mercedes,1:33.999,93.999,SOFT,4.0,1,29.143,33.587,31.269
6,VER,Red Bull Racing,1:34.063,94.063,SOFT,2.0,1,29.061,33.324,31.678
7,PIA,McLaren,1:34.200,94.2,SOFT,4.0,1,29.059,33.759,31.382
8,TSU,Racing Bulls,1:34.758,94.758,SOFT,6.0,1,28.887,34.063,31.808
9,OCO,Haas F1 Team,1:34.867,94.867,SOFT,2.0,1,29.266,33.83,31.771
10,LAW,Red Bull Racing,1:34.938,94.938,SOFT,2.0,1,29.565,33.604,31.769
11,GAS,Alpine,1:34.959,94.959,SOFT,2.0,1,29.249,33.543,32.167
12,HUL,Audi,1:35.060,95.06,SOFT,2.0,1,29.091,34.231,31.738
13,BOR,Audi,1:35.170,95.17,SOFT,2.0,1,29.113,33.892,32.165
14,BEA,Haas F1 Team,1:35.203,95.203,SOFT,2.0,1,29.086,33.945,32.172
15,COL,Alpine,1:35.886,95.886,SOFT,2.0,1,29.113,34.482,32.291
16,SAI,Williams,1:36.291,96.291,SOFT,3.0,1,29.617,34.435,32.239
17,ALO,Aston Martin,1:36.780,96.78,SOFT,5.0,1,29.909,35.128,31.743
18,ALB,Williams,1:36.936,96.936,SOFT,2.0,1,29.863,34.642,32.431
19,PER,Cadillac,1:37.195,97.195,SOFT,2.0,1,29.832,34.626,32.737
20,STR,Aston Martin,1:37.273,97.273,SOFT,2.0,1,30.072,34.68,32.521
21,BOT,Cadillac,1:37.727,97.727,SOFT,2.0,1,29.796,35.075,32.856
