Driver,Team,best_FP1_lap,best_FP1_lap_seconds,best_FP1_theoretical_lap,best_FP1_theoretical_seconds,best_FP2_lap,best_FP2_lap_seconds,best_FP2_theoretical_lap,best_FP2_theoretical_seconds,best_FP3_lap,best_FP3_lap_seconds,best_FP3_theoretical_lap,best_FP3_theoretical_seconds
ALB,,1:37.591,97.591,1:37.485,97.48499999999999,1:36.936,96.936,1:36.936,96.93599999999999,,,,
ALO,Aston Martin,1:36.473,96.473,1:36.473,96.473,1:36.780,96.78,1:36.221,96.221,1:35.020,95.02,1:35.020,95.02000000000001
ANT,Mercedes,1:34.363,94.363,1:34.299,94.299,1:33.662,93.662,1:33.572,93.572,1:32.797,92.797,1:32.797,92.797
BEA,Haas F1 Team,1:36.853,96.853,1:36.734,96.73399999999998,1:35.203,95.203,1:35.203,95.203,1:34.481,94.481,1:34.409,94.40899999999999
BOR,Audi,1:35.652,95.652,1:35.512,95.512,1:35.170,95.17,1:35.131,95.131,1:34.288,94.288,1:34.288,94.288
BOT,Cadillac,1:38.818,98.818,1:38.666,98.666,1:37.727,97.727,1:37.727,97.727,1:36.670,96.67,1:36.640,96.64
COL,Alpine,1:35.933,95.933,1:35.897,95.897,1:35.886,95.886,1:35.518,95.518,1:34.346,94.346,1:34.346,94.346
GAS,Alpine,1:36.244,96.244,1:35.888,95.888,1:34.959,94.959,1:34.959,94.959,1:34.971,94.971,1:34.971,94.971
HAM,Ferrari,1:34.620,94.62,1:34.425,94.425,1:33.811,93.811,1:33.811,93.811,1:34.284,94.284,1:34.284,94.28399999999999
HUL,Audi,1:35.529,95.529,1:35.282,95.28200000000001,1:35.060,95.06,1:34.780,94.78,1:33.933,93.933,1:33.915,93.91499999999999
LAW,Red Bull Racing,1:35.539,95.539,1:35.358,95.358,1:34.938,94.938,1:34.587,94.58699999999999,1:33.902,93.902,1:33.828,93.828
LEC,Ferrari,1:34.536,94.536,1:34.536,94.536,1:33.775,93.775,1:33.478,93.478,1:32.963,92.963,1:32.889,92.889
LIN,Racing Bulls,1:35.033,95.033,1:35.033,95.033,1:33.890,93.89,1:33.890,93.89,1:34.505,94.505,1:34.505,94.505
NOR,McLaren,1:34.947,94.947,1:34.947,94.947,,,,,1:33.033,93.033,1:32.938,92.938
OCO,Haas F1 Team,1:35.834,95.834,1:35.783,95.78299999999999,1:34.867,94.867,1:34.867,94.86699999999999,1:34.430,94.43,1:34.354,94.35399999999998
PER,Cadillac,1:38.150,98.15,1:37.948,97.94800000000001,1:37.195,97.195,1:37.193,97.193,1:36.441,96.441,1:36.136,96.136
PIA,McLaren,1:35.148,95.148,1:35.133,95.133,1:34.200,94.2,1:34.200,94.2,1:32.986,92.986,1:32.938,92.938
RUS,Mercedes,1:34.077,94.077,1:34.000,94.0,1:33.999,93.999,1:33.893,93.893,1:33.499,93.499,1:33.258,93.258
SAI,Williams,1:36.870,96.87,1:36.870,96.86999999999999,1:36.291,96.291,1:36.291,96.291,1:35.464,95.464,1:35.462,95.46199999999999
STR,Aston Martin,1:37.254,97.254,1:36.998,96.99799999999999,1:37.273,97.273,1:37.251,97.251,1:35.570,95.57,1:35.372,95.372
TSU,Racing Bulls,1:36.939,96.939,1:36.939,96.939,1:34.758,94.758,1:34.634,94.634,1:34.565,94.565,1:34.495,94.495
VER,Red Bull Racing,1:34.703,94.703,1:34.703,94.703,1:34.063,94.063,1:34.063,94.063,1:33.172,93.172,1:33.172,93.17200000000001
