Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus
1,LEC,Ferrari,1:11.964,71.964,SOFT,13.0,1
2,VER,Red Bull Racing,1:12.127,72.127,SOFT,8.0,1
3,NOR,McLaren,1:12.290,72.29,SOFT,14.0,1
4,ALB,Williams,1:12.314,72.314,SOFT,12.0,1
5,PIA,McLaren,1:12.342,72.342,MEDIUM,3.0,1
6,RUS,Mercedes,1:12.482,72.482,SOFT,10.0,1
7,SAI,Williams,1:12.534,72.534,SOFT,14.0,1
8,GAS,Alpine,1:12.669,72.669,SOFT,11.0,1
9,HAM,Ferrari,1:12.690,72.69,SOFT,2.0,1
10,ALO,Aston Martin,1:12.727,72.727,SOFT,4.0,21
11,ANT,Mercedes,1:12.765,72.765,SOFT,18.0,1
12,HUL,Kick Sauber,1:12.979,72.979,SOFT,7.0,1
13,HAD,Racing Bulls,1:13.187,73.187,MEDIUM,12.0,1
14,TSU,Red Bull Racing,1:13.232,73.232,SOFT,8.0,1
15,BEA,Haas F1 Team,1:13.329,73.329,SOFT,5.0,1
16,OCO,Haas F1 Team,1:13.394,73.394,SOFT,10.0,1
17,LAW,Racing Bulls,1:13.429,73.429,MEDIUM,14.0,1
18,BOR,Kick Sauber,1:13.470,73.47,SOFT,6.0,1
19,COL,Alpine,1:13.820,73.82,SOFT,13.0,1
20,STR,Aston Martin,1:15.635,75.635,SOFT,3.0,1
