Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus
1,NOR,McLaren,1:15.426,75.426,SOFT,2.0,1
2,RUS,Mercedes,1:15.435,75.435,SOFT,2.0,1
3,PIA,McLaren,1:15.483,75.483,SOFT,2.0,1
4,LEC,Ferrari,1:15.799,75.799,SOFT,2.0,1
5,ANT,Mercedes,1:16.015,76.015,SOFT,2.0,1
6,VER,Red Bull Racing,1:16.321,76.321,SOFT,2.0,1
7,LIN,Racing Bulls,1:16.411,76.411,SOFT,2.0,1
8,BOR,Audi,1:16.611,76.611,SOFT,2.0,1
9,HAM,Ferrari,1:16.631,76.631,SOFT,2.0,1
10,HAD,Red Bull Racing,1:16.674,76.674,SOFT,2.0,1
11,HUL,Audi,1:16.934,76.934,SOFT,2.0,1
12,BEA,Haas F1 Team,1:16.945,76.945,SOFT,2.0,1
13,LAW,Racing Bulls,1:16.967,76.967,MEDIUM,2.0,1
14,SAI,Williams,1:17.020,77.02,SOFT,2.0,1
15,COL,Alpine,1:17.051,77.051,SOFT,2.0,1
16,GAS,Alpine,1:17.260,77.26,SOFT,4.0,1
17,OCO,Haas F1 Team,1:17.538,77.538,SOFT,2.0,1
18,BOT,Cadillac,1:18.225,78.225,SOFT,2.0,1
19,ALB,Williams,1:18.790,78.79,SOFT,2.0,1
20,PER,Cadillac,1:19.261,79.261,SOFT,2.0,1
21,ALO,Aston Martin,1:19.286,79.286,SOFT,2.0,1
22,STR,Aston Martin,1:19.459,79.459,SOFT,2.0,1
